日期,2010-01-29,2010-02-26,2010-03-31,2010-04-30,2010-05-31,2010-06-30,2010-07-30,2010-08-31,2010-09-30,2010-10-29,2010-11-30,2010-12-31,2011-01-31,2011-02-28,2011-03-31,2011-04-29,2011-05-31,2011-06-30,2011-07-29,2011-08-31,2011-09-30,2011-10-31,2011-11-30,2011-12-30,2012-01-31,2012-02-29,2012-03-30,2012-04-27,2012-05-31,2012-06-29,2012-07-31,2012-08-31,2012-09-28,2012-10-31,2012-11-30,2012-12-31,2013-01-31,2013-02-28,2013-03-29,2013-04-26,2013-05-31,2013-06-28,2013-07-31,2013-08-30,2013-09-30,2013-10-31,2013-11-29,2013-12-31,2014-01-30,2014-02-28,2014-03-31,2014-04-30,2014-05-30,2014-06-30,2014-07-31,2014-08-29,2014-09-30,2014-10-31,2014-11-28,2014-12-31,2015-01-30,2015-02-27,2015-03-31,2015-04-30,2015-05-29,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-30,2015-11-30,2015-12-31,2016-01-29,2016-02-29,2016-03-31,2016-04-29,2016-05-31,2016-06-30,2016-07-29,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-30,2017-01-26,2017-02-28,2017-03-31,2017-04-28,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-29,2017-10-31,2017-11-30,2017-12-29,2018-01-31,2018-02-28,2018-03-30,2018-04-27,2018-05-31,2018-06-29,2018-07-31,2018-08-31,2018-09-28,2018-10-31,2018-11-30,2018-12-28,2019-01-31,2019-02-28,2019-03-29,2019-04-30,2019-05-31,2019-06-28,2019-07-31,2019-08-30,2019-09-30,2019-10-31,2019-11-29,2019-12-31,2020-01-23,2020-02-28,2020-03-31,2020-04-30,2020-05-29,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-30,2020-11-30,2020-12-31,2021-01-29,2021-02-26,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-30,2021-08-31,2021-09-30,2021-10-29,2021-11-30,2021-12-31,2022-01-28,2022-02-28,2022-03-31,2022-04-29,2022-05-31,2022-06-30,2022-07-29,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-30,2023-01-31,2023-02-28,2023-03-31,2023-04-28,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-28,2023-10-31,2023-11-30,2023-12-29,2024-01-31,2024-02-29
000001.SZ,4.0343,3.9686,3.8814,3.8871,3.8779,3.8836,3.8836,3.8836,3.8800,3.7971,3.6964,3.2129,3.0636,2.9114,2.6536,2.6114,2.4407,2.4614,2.4186,2.2343,2.0786,2.0379,1.9536,1.7750,1.6750,1.6586,1.6871,1.7371,1.7443,1.6371,1.5857,1.5400,1.5621,1.4707,1.4457,1.5843,1.8979,2.0914,2.3243,2.4464,2.5164,3.2679,3.3000,3.3164,3.4864,3.6086,3.5679,3.7064,3.7093,3.5614,3.2043,2.9871,2.6914,2.6479,2.5250,1.7221,1.6329,1.6121,1.5186,1.5971,1.7107,1.6093,1.7707,1.9586,2.0186,2.2821,2.4543,2.5579,2.5650,2.5914,2.7164,2.7093,2.7443,2.5164,2.4129,2.3700,2.1750,2.0164,1.9186,1.6450,1.4429,1.1986,1.1336,1.0929,0.9429,0.8800,0.7414,0.7014,0.6521,0.6443,0.7500,0.7300,0.7693,0.7514,1.0114,1.0793,1.1864,1.3607,1.4693,1.5436,1.5950,1.6850,1.7171,1.8093,1.7757,1.7764,1.7679,1.8271,1.6771,1.7157,1.6514,1.5679,1.5771,1.6429,1.6357,1.6786,1.7350,1.7507,1.7986,1.7957,1.8636,1.8836,2.0036,2.0100,2.0100,1.9629,2.1036,2.1029,2.1300,2.2343,2.3957,2.4464,2.6950,2.8650,2.9550,3.1471,3.0636,3.1500,3.4993,3.6893,3.6957,3.7186,3.7957,3.7250,3.5500,3.4786,3.2636,3.1286,3.0029,2.7921,2.7986,2.6400,2.2850,2.1136,2.0436,1.9307,1.9393,1.8671,1.8879,1.8514,1.8007,1.7179,1.7093,1.7100,1.5607,1.5650,1.5493,1.4829,1.3343,1.4121
000002.SZ,2.1993,2.1086,2.0929,2.1179,2.0686,2.0400,2.0029,1.8471,1.7493,1.5764,1.5129,1.4450,1.4464,1.3264,1.2650,1.2979,1.3207,1.2229,1.2243,1.2321,1.2029,1.2071,1.1929,1.1064,1.0136,1.0093,0.9757,0.9879,0.9957,0.9864,1.0086,1.0571,1.0764,1.0586,1.0250,1.0436,1.1557,1.2350,1.3029,1.3071,1.3664,1.5757,1.6571,1.6779,1.6986,1.6571,1.6386,1.6850,1.6979,1.6593,1.5914,1.5193,1.5050,1.4529,1.4736,1.2700,1.1757,1.1700,1.1957,1.3714,1.5293,1.5757,1.7479,1.8164,1.8721,2.0629,2.1729,2.3671,2.3629,2.3821,2.4514,3.0543,3.0543,3.0543,3.0543,3.0543,3.0543,3.0543,3.4707,3.9950,4.1179,4.1979,4.3071,4.6743,4.6479,4.4643,4.3993,4.3407,4.4321,4.7557,4.9007,4.4150,4.4036,3.8957,4.0514,4.1286,4.5721,4.6193,4.8450,5.2857,5.4300,5.6036,5.5900,5.4550,5.4386,5.5564,5.2529,5.2864,5.0971,4.9979,4.5129,4.3243,4.1336,3.7921,3.7450,3.6100,3.5479,3.4036,3.3443,3.3793,3.4964,3.5493,3.8379,3.8107,3.6286,3.4350,3.6707,3.6886,3.6164,3.5350,3.7479,3.9293,4.1114,4.2529,4.2493,4.0900,3.6414,3.7457,3.9900,4.1586,3.9629,4.1257,4.1750,4.2100,4.1064,3.9843,4.0179,3.8293,3.6386,3.7029,3.7914,3.6679,3.4564,3.4864,3.7200,3.5807,3.4729,3.4021,3.2843,3.2136,2.9636,2.7571,2.7586,2.6929,2.5379,2.5314,2.4550,2.1800,1.8329,1.7336
000004.SZ,1.3843,1.4007,1.4893,1.5886,1.6950,1.7286,1.7364,1.8229,1.8093,1.8500,1.9143,1.8557,1.8021,1.8236,1.8350,1.8957,1.8750,2.0071,2.0064,2.1171,2.1879,2.1236,2.1564,2.2457,2.1714,2.1564,2.2129,2.1829,2.1679,2.1007,2.2407,2.0229,1.9407,1.7729,1.6814,1.7321,1.7493,1.6250,1.6286,1.6436,1.6514,1.7457,1.7421,1.9414,1.7514,1.8593,1.8571,1.9600,1.9714,2.0450,2.0736,2.0886,2.1736,2.1371,2.0436,1.9414,2.2607,2.3043,2.4721,2.8007,2.9021,2.9071,3.2671,3.4614,4.3657,5.4243,6.5736,7.7793,8.3693,8.9136,9.3450,10.1500,11.3821,11.3557,11.8857,11.8857,11.8857,11.8857,11.8857,11.8857,12.0900,11.9579,12.1650,11.6100,11.1543,10.1014,9.1786,9.1786,9.1786,9.3229,9.0729,8.4421,7.4964,6.2221,6.3407,6.0121,5.9243,5.7500,5.3793,5.0600,4.6229,4.6621,4.5086,3.9464,3.7393,3.7264,3.7179,3.7043,3.3407,3.3836,3.3821,3.6421,3.7886,3.9150,3.8850,3.8507,3.9407,3.8821,4.0171,4.1664,4.1571,5.6071,6.8164,7.0021,7.2386,7.0850,7.1436,7.3679,7.3964,7.4614,7.7286,8.1271,8.0679,8.0057,8.0071,6.7079,5.3657,5.3557,5.6000,5.7593,5.4821,5.2600,5.2664,5.0657,4.8729,4.7279,4.7429,5.0736,5.1636,4.9350,5.0029,4.5357,3.9136,3.5693,3.6321,3.4543,3.2493,3.1850,2.8629,2.5621,2.6200,2.2443,2.6586,3.0343,3.0350,3.1743,3.3657,3.4979,3.6214,3.9057
000005.SZ,1.1471,1.1336,1.1993,1.2229,1.2229,1.2329,1.2614,1.2879,1.2536,1.1836,1.1379,1.0936,0.9657,0.8900,0.8321,0.8200,0.8200,0.8200,0.8200,0.8200,0.8200,0.8200,0.8200,0.8200,0.8200,0.8200,0.8200,0.7857,0.7279,0.7064,0.6864,0.6429,0.6107,0.5764,0.6021,0.5893,0.5957,0.5779,0.5314,0.5243,0.5064,0.5043,0.4779,0.4621,0.4593,0.4486,0.4479,0.4536,0.4193,0.3871,0.3836,0.3957,0.3807,0.3643,0.3679,0.3336,0.4593,0.4900,0.5021,0.5336,0.5336,0.5336,0.5336,0.5336,1.4300,1.9571,2.2379,2.5379,2.6243,3.0357,3.2650,3.4221,3.6736,3.8071,3.7621,3.7879,3.8257,3.8614,3.0050,2.5050,2.2614,1.9807,1.8900,1.5050,1.3357,1.1814,0.9543,0.9121,0.8879,0.8350,0.8071,0.7236,0.7193,0.7086,0.6936,0.6821,0.6921,0.6714,0.6500,0.6629,0.6521,0.5957,0.5607,0.5536,0.5193,0.5350,0.5121,0.5029,0.5093,0.5436,0.5643,0.5914,0.5671,0.5879,0.5943,0.5864,0.6243,0.6329,0.6350,0.6214,0.6029,0.6221,0.6050,0.5629,0.5179,0.4750,0.5036,0.4843,0.4807,0.4529,0.3914,0.3643,0.3779,0.3864,0.4214,0.3836,0.3929,0.3936,0.4079,0.4164,0.3943,0.3814,0.3536,0.3514,0.3671,0.3664,0.3579,0.3643,0.3243,0.3200,0.3007,0.2993,0.2857,0.2657,0.2529,0.2629,0.2600,0.2543,0.2307,0.2300,0.2614,0.2493,0.2457,0.2507,0.2429,0.2400,0.2307,0.2521,0.2500,0.2493
000006.SZ,2.4779,2.4293,2.5171,2.5736,2.6686,2.6129,2.7193,2.6536,2.6079,2.3957,2.3064,2.2721,2.1164,1.9300,1.8864,1.8936,1.8836,1.8121,1.5500,1.5507,1.2786,1.2429,1.1857,1.1707,1.1350,1.0571,1.0371,1.1221,1.1229,1.1021,1.1286,1.0186,0.9893,0.9586,0.9729,1.0214,1.0271,1.0186,1.0307,0.9786,0.9579,0.9329,0.8936,0.8971,0.7800,0.7893,0.8650,0.9264,0.9300,0.8693,0.9029,0.9243,0.8914,0.8886,0.8736,0.8243,0.8457,0.8471,0.8764,0.8979,0.9007,0.8579,1.0129,1.2357,1.6014,2.1357,2.5207,3.0764,3.2271,3.3771,3.4914,3.5800,3.8557,3.9350,3.9993,4.0136,3.8807,3.6657,3.2493,2.7964,2.5179,2.0207,1.9250,1.8486,1.8486,1.7400,1.4521,1.4393,1.3607,1.3721,1.3629,1.3771,1.4600,1.4600,1.4600,1.4600,1.4600,1.4600,1.5207,1.4221,1.3971,1.4014,1.3514,1.2271,1.2686,1.2964,1.2243,1.2036,1.1586,1.1657,1.1929,1.1486,0.9821,0.9679,0.9307,0.9086,0.8807,0.8579,0.8000,0.7421,0.7100,0.6971,0.7257,0.7093,0.6564,0.7114,0.8393,1.0679,1.1079,1.1457,1.1236,1.1464,1.1757,1.2100,1.2286,1.1943,1.1600,1.1236,1.1393,1.0236,0.8771,0.6629,0.6107,0.5471,0.5486,0.5300,0.5986,0.6786,0.6800,0.6986,0.7264,0.7250,0.7129,0.7257,0.8486,0.9671,1.0300,1.0464,1.0821,1.1014,1.0193,0.9236,0.9314,0.9686,0.9807,0.9857,1.0336,1.0364,0.9593,0.8657
000007.SZ,1.2250,1.2336,1.2621,1.2286,1.3093,1.3000,1.3014,1.2707,1.1886,1.1436,1.1257,1.1500,1.0750,1.0157,1.0079,1.0186,1.0993,1.1421,1.0614,1.0750,1.0771,1.0750,1.0764,1.1857,1.1879,1.3029,1.5143,1.5914,1.9279,1.9857,2.1364,2.2629,2.3979,2.4500,2.7943,2.9321,3.2029,3.4721,3.8086,3.8157,3.8057,4.0143,3.8057,3.8000,3.6500,3.6079,3.5157,3.4893,3.1936,3.1500,2.9114,2.5700,2.2264,2.2264,2.2264,2.2264,2.5414,2.4186,2.2193,2.2771,2.2600,2.3093,2.6229,3.0521,3.5457,3.5457,3.5457,3.5457,3.5457,3.5457,4.0443,4.3029,4.3029,4.3029,4.3029,4.3029,4.3029,4.3029,4.8007,5.0907,5.3393,5.0000,5.1743,5.2364,5.3093,5.3093,5.3093,5.3093,5.3093,5.3093,5.9593,5.9443,5.6050,5.6050,5.6050,5.6050,5.6050,5.6050,5.3700,4.9314,4.3986,4.1407,3.6729,3.3929,3.4229,3.5229,3.4993,3.4614,3.3971,2.7929,2.7500,2.7450,2.5614,2.4514,2.4279,2.5686,2.5279,2.5707,2.4279,2.2957,2.0607,2.0793,1.9850,1.8436,1.7557,1.7064,1.7129,1.7171,1.7143,1.4950,1.5021,1.5179,1.6186,1.6029,1.6614,1.5329,1.4271,1.4564,1.4700,1.3914,1.3436,1.3293,1.4121,1.4329,1.4250,1.2836,1.0414,1.0021,0.9800,0.9786,0.9893,1.0100,1.0500,1.0564,1.0650,1.0829,0.9907,0.9436,0.9121,1.0386,1.0871,1.0871,1.0629,1.0664,1.0414,1.0200,0.9457,0.9507,0.9543,0.9393
000008.SZ,1.8364,1.8764,1.9550,2.0721,2.0743,2.2979,2.4021,2.3779,2.2907,2.2521,2.2693,2.2600,2.1743,2.0979,1.9886,1.9736,1.9814,1.9057,1.8507,1.6686,1.6686,1.6271,1.6364,1.7679,1.7193,1.6650,1.7771,1.7836,1.8214,1.8829,1.8821,1.9600,1.9557,1.9114,1.8800,1.8764,1.9371,1.8371,1.9886,2.0657,2.4293,2.5886,2.6129,2.5621,2.4914,2.4914,2.5007,2.5464,2.5093,2.5114,2.4450,2.3593,2.3079,2.2179,2.2179,2.2179,2.2514,2.3707,2.6136,2.9593,3.3043,3.3079,4.1579,4.1579,4.1579,4.1579,4.8014,5.5893,6.9293,7.2421,7.3829,7.3657,7.6150,7.1571,7.0800,6.7700,6.4179,6.1893,6.0679,5.2186,4.5043,3.7757,2.3943,2.0700,1.9371,1.8043,1.5450,1.5079,1.2936,1.2393,1.1757,1.0271,1.0429,1.0264,1.0471,0.9500,0.9400,0.9171,0.8914,0.9286,0.9636,0.9229,0.9229,0.9279,0.9686,0.9864,0.9836,0.9136,0.8986,0.9186,0.9107,0.9257,0.9050,0.8579,0.8164,0.7629,0.7736,0.6964,0.6321,0.5893,0.5600,0.5750,0.5714,0.4900,0.4671,0.4057,0.3914,0.3907,0.3857,0.3871,0.3393,0.3457,0.3514,0.3450,0.3271,0.2929,0.2479,0.2400,0.2364,0.2436,0.2321,0.2350,0.2250,0.3086,0.3350,0.3614,0.3779,0.3943,0.4243,0.4436,0.4600,0.4686,0.4786,0.4886,0.4964,0.5000,0.5050,0.4157,0.3986,0.3614,0.3436,0.3150,0.2807,0.2771,0.2700,0.2643,0.2521,0.2400,0.2343,0.2350
000009.SZ,2.5529,2.6179,2.5786,2.4407,2.5043,2.4657,2.5371,2.5086,2.4700,2.4336,2.6286,2.6657,2.8593,3.2264,3.3707,3.5579,3.6550,3.6664,3.7757,3.8893,3.9371,4.0114,4.1679,4.4664,4.3314,4.2893,4.1557,3.7521,3.5629,3.3514,3.2929,3.2600,3.0286,2.8850,2.7536,2.6607,2.4329,2.0029,1.8814,1.7886,1.8429,1.9564,2.0321,1.9914,1.9307,1.9157,1.9057,1.8879,1.8443,1.9100,1.9064,1.9564,1.8329,1.8329,1.8329,2.0514,1.9600,1.7843,1.6900,1.8086,1.8650,1.9936,2.0764,2.4514,2.7236,3.3457,3.6371,3.8843,4.0221,4.2021,4.4200,4.5814,5.0164,5.0000,5.0807,5.0050,5.0200,4.7236,4.7207,4.1021,3.7936,3.4586,3.3493,2.9229,2.6457,2.4279,1.9536,1.8857,1.7657,1.6836,1.6579,1.6000,1.3579,1.2621,1.2264,1.2264,1.2557,1.2650,1.2207,1.2179,1.2029,1.1657,1.1114,1.0721,0.9386,0.9321,0.9464,0.9121,0.8936,0.9457,1.0286,1.0657,1.0629,1.0643,1.1157,1.1029,1.0864,1.0800,1.0850,1.1571,1.1421,1.3243,1.4571,1.4271,1.3364,1.3486,1.5086,1.5457,1.5257,1.5286,1.5621,1.6036,1.6586,1.8129,1.8257,1.7543,1.6779,2.2564,2.7421,3.2729,3.8179,4.1507,4.3900,4.5971,4.6914,4.7421,4.9400,4.8886,5.0314,5.1336,5.2579,4.9129,4.6436,4.1664,3.5521,3.2900,3.0243,2.8207,2.7714,2.7664,2.6343,2.4429,2.2457,2.0864,1.9271,1.6979,1.5150,1.3743,1.3564,1.3936
000010.SZ,1.8886,1.8921,1.9779,1.9979,1.9979,1.9979,1.9979,1.9979,1.9979,1.9979,1.9979,1.9979,1.9979,1.9979,1.9979,1.9979,1.9979,1.9979,1.9979,1.9979,1.9979,1.9979,1.9979,1.9979,1.9979,1.9979,2.1443,2.1321,2.1729,2.2350,2.3064,2.5664,2.5664,2.7936,2.8671,2.9450,2.9450,2.9450,2.9450,3.1807,3.1807,3.1807,4.3336,4.3271,4.2814,4.3671,4.0929,4.0450,4.0157,3.9800,3.9214,3.5707,3.2507,3.1593,2.9500,2.6693,1.4507,1.4414,1.4179,1.3000,1.3000,1.3000,1.3000,1.3000,1.9457,2.4643,2.6136,2.8643,2.8536,2.9807,3.0993,3.1950,3.3814,3.4600,3.4943,3.5414,3.6400,3.5921,2.9350,2.3814,2.2221,1.9493,1.9121,1.7764,1.7071,1.5557,1.3500,1.2929,1.2971,1.2414,1.1221,1.0971,1.0700,1.1650,1.1479,1.0886,1.1457,1.1093,1.0629,1.1064,1.1336,1.0886,1.0536,1.0207,1.0129,1.0429,1.0736,0.9764,0.9557,0.9821,0.9257,0.9107,0.8971,0.8457,0.7993,0.7779,0.7307,0.7250,0.6993,0.6629,0.6414,0.5921,0.5564,0.5614,0.5350,0.5086,0.5286,0.5450,0.6493,0.7100,0.7286,0.7536,0.7800,0.7843,0.8443,0.8814,0.8821,0.8279,0.8157,0.8121,0.7636,0.7393,0.6321,0.5493,0.5564,0.5464,0.5386,0.5850,0.5736,0.5979,0.6064,0.6164,0.6357,0.6450,0.6479,0.6593,0.6743,0.6764,0.6729,0.6686,0.6621,0.6136,0.5871,0.5886,0.6207,0.6686,0.6886,0.6857,0.7557,0.7779
000011.SZ,2.3293,2.3807,2.5243,2.7850,2.7357,2.6379,2.7121,2.7300,2.6029,2.5043,2.3886,2.3614,2.0686,1.9100,1.8250,1.8507,2.0321,1.8707,1.9050,1.9607,1.9129,1.8979,1.8793,1.9114,1.8807,1.9657,2.0514,2.2021,2.1893,2.1657,1.9507,1.8586,1.7514,1.6414,1.6443,1.6914,1.6736,1.6000,1.5750,1.5086,1.4536,1.4564,1.4757,1.5014,1.4271,1.4629,1.4557,1.4893,1.4557,1.3757,1.4250,1.4829,1.4386,1.3757,1.2979,1.1936,1.1407,1.1029,1.1550,1.1686,1.2650,1.2514,1.4514,1.7857,2.1050,2.6500,3.2557,3.8614,4.1343,4.4107,4.6157,4.7071,4.9957,5.4693,5.5529,5.7014,5.6357,5.4007,5.0657,4.7879,4.3443,3.9121,3.8529,3.8336,4.0143,3.9979,3.7257,3.4979,3.4721,3.5843,3.5693,3.5921,3.6929,3.4529,3.5007,3.3621,3.2643,3.1136,2.9014,2.9086,2.9350,2.7764,2.7921,2.6343,2.5586,2.6264,2.5543,2.5764,2.4050,2.4593,2.4821,2.4029,2.3114,2.1779,2.1107,2.0850,1.9814,1.9007,1.8100,1.6036,1.5100,1.4729,1.4864,1.4357,1.3743,1.8664,2.6793,3.4879,3.6871,3.9329,3.9679,4.0629,4.1943,4.3429,4.7171,4.7836,4.8229,4.8471,4.8636,4.3221,3.4957,2.7886,2.5500,2.2407,2.1907,2.0614,2.1957,2.4029,2.1471,2.1314,2.2500,2.1836,2.1814,2.1314,2.2429,2.2843,2.3050,2.2400,2.2607,2.2664,2.0521,1.7179,1.6536,1.6486,1.5107,1.5264,1.5229,1.5529,1.4971,1.4214
