日期,2010-01-29,2010-02-26,2010-03-31,2010-04-30,2010-05-31,2010-06-30,2010-07-30,2010-08-31,2010-09-30,2010-10-29,2010-11-30,2010-12-31,2011-01-31,2011-02-28,2011-03-31,2011-04-29,2011-05-31,2011-06-30,2011-07-29,2011-08-31,2011-09-30,2011-10-31,2011-11-30,2011-12-30,2012-01-31,2012-02-29,2012-03-30,2012-04-27,2012-05-31,2012-06-29,2012-07-31,2012-08-31,2012-09-28,2012-10-31,2012-11-30,2012-12-31,2013-01-31,2013-02-28,2013-03-29,2013-04-26,2013-05-31,2013-06-28,2013-07-31,2013-08-30,2013-09-30,2013-10-31,2013-11-29,2013-12-31,2014-01-30,2014-02-28,2014-03-31,2014-04-30,2014-05-30,2014-06-30,2014-07-31,2014-08-29,2014-09-30,2014-10-31,2014-11-28,2014-12-31,2015-01-30,2015-02-27,2015-03-31,2015-04-30,2015-05-29,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-30,2015-11-30,2015-12-31,2016-01-29,2016-02-29,2016-03-31,2016-04-29,2016-05-31,2016-06-30,2016-07-29,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-30,2017-01-26,2017-02-28,2017-03-31,2017-04-28,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-29,2017-10-31,2017-11-30,2017-12-29,2018-01-31,2018-02-28,2018-03-30,2018-04-27,2018-05-31,2018-06-29,2018-07-31,2018-08-31,2018-09-28,2018-10-31,2018-11-30,2018-12-28,2019-01-31,2019-02-28,2019-03-29,2019-04-30,2019-05-31,2019-06-28,2019-07-31,2019-08-30,2019-09-30,2019-10-31,2019-11-29,2019-12-31,2020-01-23,2020-02-28,2020-03-31,2020-04-30,2020-05-29,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-30,2020-11-30,2020-12-31,2021-01-29,2021-02-26,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-30,2021-08-31,2021-09-30,2021-10-29,2021-11-30,2021-12-31,2022-01-28,2022-02-28,2022-03-31,2022-04-29,2022-05-31,2022-06-30,2022-07-29,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-30,2023-01-31,2023-02-28,2023-03-31,2023-04-28,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-28,2023-10-31,2023-11-30,2023-12-29,2024-01-31,2024-02-29
000001.SZ,22.5640,23.0520,23.1960,22.4560,21.0840,20.2460,20.2460,20.2460,19.0000,18.0420,17.2080,16.8640,16.4240,16.3660,15.9000,16.2620,16.6360,16.9880,17.2700,17.4240,16.9920,16.8360,16.5240,16.1740,16.1320,16.3440,16.1100,16.3200,16.3400,16.0440,15.6440,15.3400,14.6540,14.1480,13.6760,13.8600,15.2420,17.2160,18.6080,19.7880,20.7820,18.5560,15.8740,13.9720,12.6080,11.1900,11.9160,12.4480,12.6060,12.4560,11.8300,11.3380,11.1880,10.8900,10.8380,10.7340,10.5340,10.4400,10.9460,11.9400,12.6760,13.4460,14.3900,15.2420,15.1380,15.2600,14.9340,13.9980,12.7560,11.9640,11.4040,11.3300,11.1160,10.9300,10.7860,10.5520,10.2640,10.0040,9.9320,9.7020,9.4020,9.1220,9.2920,9.2720,9.2400,9.3220,9.3260,9.2140,9.2340,9.2460,9.4840,9.9060,10.3300,10.7980,11.5960,12.1220,12.6760,12.8640,12.7360,12.2300,11.6060,10.6140,10.0880,9.9340,9.9740,10.1200,10.3740,10.3660,10.5600,10.8220,11.2040,11.9020,12.4620,12.9980,13.3520,13.6200,13.9680,14.7840,15.0860,15.5500,15.8260,15.6080,14.9160,14.6440,13.9540,13.4060,13.1740,13.6300,13.8780,14.8280,16.2160,17.4160,19.0180,20.2600,21.1120,21.8220,22.7940,22.7000,21.9620,21.1200,20.0480,19.1080,18.0720,17.8300,17.4360,17.0000,16.1760,15.7520,15.2880,15.1180,14.5040,13.9780,13.2820,12.5180,12.1280,12.2240,12.6720,13.0600,13.4980,13.4020,13.0900,12.3380,12.0460,11.7660,11.4960,11.2680,10.9580,10.3720,10.0380,9.9160
000002.SZ,10.7220,10.5240,10.1220,9.3760,8.6560,8.1440,7.9160,7.7000,7.8200,8.3180,8.5880,8.5740,8.5300,8.4820,8.2800,8.3500,8.2740,8.3240,8.3220,8.2140,7.9660,7.9980,7.7200,7.5840,7.4840,7.6920,7.7480,8.1320,8.4880,8.7400,8.9300,8.8780,8.7680,8.5820,8.5500,8.7280,9.5260,10.2400,10.7280,11.1840,11.5560,11.1240,10.6280,10.3680,9.9880,9.4340,9.2160,8.9180,8.5020,8.0200,7.7960,7.6240,7.7280,7.9060,8.5420,8.7480,9.0040,9.1740,9.7000,10.5000,11.3000,12.0140,12.8980,13.6380,13.7280,14.0080,14.2940,14.2900,13.9160,13.7800,13.8900,15.9400,15.9400,15.9400,15.9400,15.9400,15.9400,15.9400,16.6080,19.0480,21.5480,23.5180,24.0280,24.7100,23.8600,22.7320,21.8640,20.3680,20.5100,21.3680,21.9360,22.4660,23.8160,25.3560,26.6060,28.1440,31.0100,32.3000,33.1660,32.6020,31.5080,28.9160,27.0400,25.1920,24.3720,24.1000,24.2680,24.3680,25.1080,25.8460,27.1440,27.8320,28.4080,28.4200,28.5740,27.5900,26.9940,26.9600,26.9380,27.6220,28.2580,28.9960,28.8200,28.6400,27.3440,26.7760,26.2260,26.5500,26.7940,27.1640,28.0760,28.4480,28.5520,29.5680,30.0580,29.5520,29.1520,28.3560,25.8680,23.8280,22.4560,20.7580,19.6480,19.4680,19.5740,19.1520,19.3400,19.5640,19.1740,19.2080,18.8100,18.3060,17.9960,17.1380,16.7680,16.9660,17.2980,17.1600,17.5040,16.8020,16.0100,15.1560,14.7780,14.4580,14.0460,13.4640,12.9480,11.9900,11.1820,10.5740
000004.SZ,8.3460,8.8240,9.7460,10.2060,10.2200,9.9060,9.7600,9.7460,9.9520,10.5540,11.4400,11.9220,12.0900,12.5620,12.7960,12.7340,12.7820,12.8060,12.7500,12.5300,12.1000,11.8060,11.5120,10.4360,9.6740,9.4800,8.9440,8.4900,8.7500,8.7900,8.5000,8.4620,8.3800,8.1480,7.9020,7.9420,8.2180,8.6040,8.8660,9.5460,10.2560,10.3920,10.4000,10.9240,11.3420,11.3300,11.8320,12.1440,12.1720,12.4460,12.6660,12.8560,13.1560,13.4720,13.5740,13.9220,14.9740,16.8160,18.5200,18.7120,19.2800,19.2800,19.6040,20.1900,23.8380,28.0680,30.2140,31.8100,31.8160,31.5540,31.8220,35.1120,34.3200,34.6800,35.5460,35.5460,35.5460,35.5460,35.5460,35.5460,35.0700,33.8700,36.7060,40.2540,40.5460,40.8540,40.0740,40.0740,40.0740,36.7680,32.2500,29.2220,26.2360,23.7680,23.7500,23.7640,23.1740,22.4800,22.3180,21.3760,21.4100,21.2900,20.8380,19.7440,18.7540,17.3520,16.6760,16.2140,15.7380,16.4480,17.6740,19.4860,20.5800,21.8240,21.6340,21.2680,19.9720,19.3100,19.0480,19.8660,20.4620,24.8420,27.3060,28.8600,30.1180,31.5220,29.1180,28.1320,27.2140,26.7580,26.3140,24.7180,23.6540,22.8060,20.9040,18.5660,17.6340,17.2940,17.9220,18.3540,18.9640,19.1140,19.1660,18.6520,18.9760,19.4940,20.1380,18.8900,16.9380,14.5460,12.0740,9.9400,9.1120,8.9280,9.1860,9.2800,9.4860,9.7740,10.0060,10.0660,10.8060,11.7820,13.3740,14.6880,15.7940,16.5880,17.0080,16.6660,15.8420,15.1360
000005.SZ,5.2680,5.5700,5.8520,5.5500,5.2180,4.9060,4.7220,4.5040,4.4200,4.4140,4.4180,4.2180,3.9440,3.9200,3.8640,3.8660,3.8660,3.8660,3.8660,3.8660,3.8660,3.8660,3.8660,3.8660,3.8660,3.8660,3.8660,3.9260,3.9320,3.6840,3.4200,3.2040,2.9800,2.8540,2.7560,2.8040,2.8680,2.9000,2.8600,2.8780,2.8340,2.6700,2.5060,2.4800,2.4500,2.4300,2.5060,2.5680,2.5240,2.5020,2.4780,2.4040,2.3540,2.3360,2.3660,2.3760,2.7080,3.0380,3.3860,3.7060,3.7060,3.7060,3.7060,3.7060,6.3540,7.4000,8.1360,8.5120,8.9280,7.8060,7.8340,8.3260,8.5420,8.6920,8.1840,7.7480,7.1300,7.2460,7.2920,7.2600,7.2980,7.3800,7.3560,7.2760,7.0860,6.9320,6.7120,6.3920,6.0800,5.8160,5.4920,5.2180,5.0640,4.9700,4.7620,4.6020,4.4300,4.1840,4.0100,3.8860,3.7460,3.5320,3.3980,3.2180,3.0900,2.9480,2.9560,2.8620,2.8360,2.9360,3.1440,3.2040,3.2740,3.3160,3.2120,3.0780,3.0540,3.0520,3.0300,3.0640,3.0380,2.9600,2.9040,2.8540,2.7500,2.6820,2.7080,2.7480,2.7280,2.7200,2.7100,2.6320,2.4720,2.3840,2.3620,2.2900,2.1340,2.0820,2.0720,2.0660,2.0440,2.1320,2.1940,2.2360,2.1860,2.2040,2.2180,2.1520,2.0700,2.0060,1.9320,1.8460,1.8100,1.7620,1.7760,1.7820,1.7860,1.8080,1.8320,1.8040,1.6340,1.5180,1.4360,1.3640,1.3040,1.3860,1.4120,1.3500,1.2560,1.1600
000006.SZ,11.0340,11.1520,11.2920,10.6320,9.4580,8.4980,8.2080,7.4500,7.0240,7.3900,7.7340,7.3420,7.1280,7.0940,7.2040,7.3820,7.3980,7.1380,6.8500,6.3720,5.8300,5.4840,5.2540,4.9180,4.7060,4.7480,4.7860,5.1240,5.5280,5.7920,5.5580,5.2580,4.7900,4.3960,4.0260,4.1960,4.5000,4.7400,4.8100,4.9180,4.9280,4.6740,4.4400,4.4920,4.5360,4.4880,4.7940,4.9720,4.8940,4.8300,4.9560,4.7680,4.7240,4.7660,4.9000,4.8960,5.0980,5.4120,5.8840,6.3000,6.5260,6.6680,7.1720,8.1200,9.8300,11.2440,12.2740,12.6360,12.1800,11.4120,10.9180,10.8760,10.2440,9.8340,9.1420,8.5080,7.6820,7.6660,7.6820,7.7220,8.0680,8.5600,9.0060,9.4100,9.4440,9.2680,8.9560,8.7000,8.4880,8.5160,8.4620,8.4960,8.8020,8.8020,8.8020,8.8020,8.8020,8.8020,8.5980,8.2340,7.9180,7.4000,6.6020,6.2100,5.9520,5.5800,5.4860,5.3500,5.2960,5.3760,5.7120,5.8540,5.9160,5.9780,5.8160,5.5260,5.3120,5.2600,5.1940,5.2080,5.1640,5.0840,4.9340,4.9080,4.7980,5.1440,5.8740,6.2560,6.5440,6.7260,6.5100,5.9760,5.6700,5.4160,5.3480,5.2800,5.2100,5.2400,5.0920,4.9220,4.7420,4.5240,4.3420,4.3500,4.3020,4.2720,4.4680,4.5200,4.5120,4.5960,4.5720,4.3840,4.3380,4.1860,4.4120,4.8280,5.1140,5.4340,5.7180,5.5180,5.1820,4.9280,4.8040,4.8340,4.7740,4.7140,4.7660,4.6620,4.4500,4.3540
000007.SZ,6.9540,7.1980,7.3600,7.4960,7.4960,7.5220,7.4840,7.5440,7.5560,7.8060,8.1580,8.3520,8.4520,8.5300,8.6240,8.6940,8.5500,8.4740,8.3840,8.2680,7.9620,8.0000,8.0120,7.6840,7.4520,7.7640,8.4680,9.1600,10.9840,12.5500,14.0200,14.9060,15.6860,15.7620,15.3200,14.9080,15.3720,16.2220,16.1620,16.8760,17.3800,16.3720,15.3100,15.0140,14.4560,13.9840,14.1660,14.0760,13.9120,13.8140,13.3180,12.9020,12.4280,12.4280,12.4280,12.4280,13.0600,13.8860,14.7200,15.2240,15.8140,15.1220,15.5420,17.5580,20.4720,20.4720,20.4720,20.4720,20.4720,20.4720,21.9480,24.0700,24.0700,24.0700,24.0700,24.0700,24.0700,24.0700,23.7500,22.9500,21.9800,22.7760,23.1160,24.7320,25.0140,25.0140,25.0140,25.0140,25.0140,25.0140,23.5040,21.4840,19.7180,19.7180,19.7180,19.7180,19.7180,19.7180,17.4580,15.4140,14.7860,14.3200,13.6680,13.2480,12.0960,10.8200,9.5720,8.5040,7.0180,6.8260,6.8260,6.6560,6.4720,6.8780,6.8280,6.9780,7.3940,7.7560,8.3920,8.9680,9.1900,9.2400,9.0680,8.6580,8.3960,8.3200,8.3140,8.5120,8.8000,8.9340,9.0860,8.7600,7.4720,6.4040,5.4060,4.2560,3.6020,3.8960,3.9560,4.0040,4.1020,4.2380,4.5940,4.9400,5.3920,5.7980,6.1880,6.3840,6.6360,6.8080,7.0300,7.3720,7.6100,7.7400,7.8020,7.8840,7.8000,7.7360,7.6700,7.2520,6.4940,5.8640,5.2700,4.7520,4.5620,4.7680,4.9000,4.9200,4.7980,4.6940
000008.SZ,9.7120,10.3840,11.1820,11.6700,11.9660,12.0160,12.0100,11.8680,12.0440,11.8280,12.3320,12.5120,12.4580,12.4420,12.2620,12.2320,12.0960,12.1600,12.0660,12.1400,11.7740,11.6880,11.2020,10.0700,9.0440,8.5040,8.2080,7.9660,8.6000,9.4820,9.8580,10.2320,10.6840,10.8840,10.5620,10.7880,11.0000,11.5580,12.2840,13.0600,12.6580,11.8400,10.8860,9.7120,8.8940,9.0520,9.4180,9.4140,9.3480,9.3480,9.3460,9.1920,9.1420,9.1080,9.1080,9.1080,10.4160,12.5460,15.5640,18.2320,21.6460,23.5920,24.9360,24.9360,24.9360,24.9360,25.5260,25.8080,22.3740,19.8060,16.7920,13.6840,10.6600,10.4600,10.0140,9.7980,9.7540,10.2560,10.8020,10.5300,10.3240,9.9740,9.8080,9.6660,9.5180,9.3320,9.1180,8.7220,8.2760,7.9900,7.7460,7.6100,7.8000,8.2180,8.4580,8.7000,8.7440,8.4500,7.9820,7.4880,6.8540,6.1900,6.1900,5.4580,4.9700,4.6500,4.2860,4.0720,4.0200,4.0740,4.1160,4.2220,4.2060,4.2320,4.0200,3.7880,3.6160,3.5400,3.4880,3.4920,3.4840,3.4220,3.3640,3.2980,3.1700,3.0740,3.0580,3.0400,2.9800,2.9200,2.8760,2.7760,2.6620,2.5560,2.4760,2.3800,2.3240,2.2720,2.2100,2.1980,2.2000,2.1840,2.1740,2.3540,2.4180,2.5120,2.5840,2.5960,2.5720,2.5620,2.5220,2.4960,2.4900,2.3760,2.3620,2.3180,2.3240,2.3900,2.4140,2.4020,2.4320,2.4160,2.4000,2.3980,2.4120,2.3940,2.4140,2.3960,2.3500,2.2920
000009.SZ,11.3620,11.5700,11.4460,11.1620,10.9360,10.5700,10.3000,10.1620,10.3120,10.9960,12.7060,14.0680,15.3800,17.3660,18.3500,18.4140,18.3040,18.1960,17.6560,17.8020,17.5240,17.4220,17.3720,15.7160,14.5120,13.7580,12.6440,11.4740,11.5820,11.0020,10.1800,9.9120,9.4700,8.9340,8.4740,8.5940,8.7760,8.8160,9.0560,9.5000,10.3340,10.5920,10.8560,10.8480,10.9240,10.3020,10.0600,9.8640,9.7540,9.9300,10.0660,10.1200,10.2720,10.2720,10.2720,11.0120,11.4340,11.9200,12.5720,13.1200,13.1200,13.4940,14.2400,16.0520,17.5060,18.1540,17.2620,16.1320,13.7740,12.9300,13.6680,15.1200,15.2800,15.3580,14.9040,13.6400,12.6120,12.9820,12.8140,12.3320,11.6720,11.1840,10.4920,10.5360,10.1740,10.0500,9.8080,9.4380,8.8360,8.5520,8.5100,8.3920,8.5120,8.6720,8.5740,8.1100,7.6620,7.0720,6.6560,6.3000,6.0000,5.7120,5.5080,5.2180,4.9820,4.6400,4.6140,4.4720,4.3620,4.4660,5.0040,5.2860,5.5820,5.9100,5.8140,5.3920,5.0380,4.7920,4.5440,4.8460,5.2220,5.8220,6.0860,6.5040,6.6460,7.0520,7.2440,7.5980,7.6860,7.8180,7.6040,7.4360,7.2820,7.8180,8.0420,8.6580,9.1980,11.4760,13.7840,17.6500,19.3820,21.5180,21.4100,20.0520,17.0120,15.9280,13.9840,12.2380,11.7000,11.8360,11.9300,12.6440,13.0880,13.0520,12.9740,12.5460,12.0980,12.4140,12.3760,11.8900,11.8900,11.8000,11.5440,11.4020,11.3520,11.0000,10.9240,10.9680,10.9960,11.2920
000010.SZ,10.4600,11.3080,12.1100,12.8400,12.8400,12.8400,12.8400,12.8400,12.8400,12.8400,12.8400,12.8400,12.8400,12.8400,12.8400,12.8400,12.8400,12.8400,12.8400,12.8400,12.8400,12.8400,12.8400,12.8400,12.8400,12.8400,12.5120,12.6060,12.6380,12.6380,12.3900,14.1220,14.1220,14.6540,15.1680,16.1480,16.1480,16.1480,16.1480,18.2440,18.2440,18.2440,15.6660,14.1400,12.4740,10.4020,7.1360,7.4720,7.4680,7.5480,7.1440,6.7360,6.2500,6.1840,6.1060,6.3200,6.7760,7.3680,7.5840,7.6840,7.6840,7.6840,7.6840,7.6840,9.6960,10.3020,10.3200,10.2200,9.9740,8.2240,7.8760,8.2380,8.4840,8.8500,8.7760,8.7440,8.2720,8.1620,8.1000,8.1020,8.0020,8.0120,8.0000,8.0000,7.7540,7.4900,7.2880,6.9800,6.4380,6.0260,5.5900,5.2460,5.0700,5.2800,5.2960,5.3980,5.3380,5.1580,4.8540,4.4780,4.1020,3.9320,3.9700,3.9700,4.2840,4.4520,4.5040,4.2280,3.9180,3.6640,3.4860,3.3360,3.3700,3.4400,3.4600,3.4360,3.4240,3.4460,3.4440,3.3940,3.4620,3.4820,3.4740,3.6220,3.7440,3.7620,3.9000,4.1460,4.1200,4.1040,4.1800,4.1320,3.9300,3.8660,3.9000,3.9040,3.9320,3.9880,4.0420,3.9740,3.8700,3.8480,3.8180,3.8000,3.7200,3.7140,3.6080,3.4080,3.3700,3.5000,3.5080,3.5320,3.5920,3.4840,3.3500,3.3620,3.3440,3.3780,3.3340,3.1800,2.8720,2.6400,2.6060,2.6880,2.8800,3.2580,3.4780,3.4840,3.3300,3.0940
000011.SZ,11.9300,11.3660,10.8120,10.0880,9.3720,9.0460,8.9760,8.4180,8.4260,8.7480,8.5980,8.0360,7.6460,7.4940,7.2960,7.6840,8.4360,9.4680,10.1960,10.5580,10.3400,9.8560,8.8020,7.7960,7.1060,7.0720,6.7780,7.0300,7.3460,7.6240,7.1760,7.0320,6.6200,6.3060,5.9480,6.2280,6.4840,6.6840,6.6820,7.0220,7.3200,7.4540,7.5960,8.1760,8.4120,8.2760,8.2760,8.2760,7.9000,7.5540,7.5360,7.3160,7.1320,7.0360,7.0920,7.0820,7.3680,7.7520,8.3660,8.9380,9.2260,9.4500,10.0900,11.0600,12.6640,13.7840,15.1280,14.7640,13.8920,13.3120,13.1340,12.8180,12.7520,13.2380,13.0640,13.0700,12.6860,13.3920,13.5220,13.7960,14.3860,15.5060,16.1540,17.2300,17.4320,17.4740,17.0780,17.2020,17.0380,17.7160,18.0940,18.8260,19.2560,19.5420,18.9780,18.5180,17.8940,17.1160,16.4480,15.8160,15.1700,14.0320,13.1940,12.3060,11.8260,10.8940,10.6320,10.2040,9.7020,9.5460,10.1000,10.3080,10.3840,10.4840,10.2740,9.9540,9.7120,9.6120,9.5040,9.4280,9.1780,8.7860,8.6360,8.6480,8.6640,10.1000,13.7840,16.1560,17.9140,18.8140,18.3780,15.6020,13.6120,12.2660,12.1620,11.7380,11.8740,12.2620,12.3520,12.0960,12.1780,11.8140,11.4880,11.5040,11.2520,10.9940,11.3800,11.6680,11.9160,12.4320,12.4040,11.8180,11.2620,10.5220,10.0760,10.2580,10.5280,10.9860,11.1680,10.8460,10.4140,9.9960,9.7860,9.9400,9.9600,9.8680,9.8840,9.5700,9.1140,8.8300
