日期,2010-01-29,2010-02-26,2010-03-31,2010-04-30,2010-05-31,2010-06-30,2010-07-30,2010-08-31,2010-09-30,2010-10-29,2010-11-30,2010-12-31,2011-01-31,2011-02-28,2011-03-31,2011-04-29,2011-05-31,2011-06-30,2011-07-29,2011-08-31,2011-09-30,2011-10-31,2011-11-30,2011-12-30,2012-01-31,2012-02-29,2012-03-30,2012-04-27,2012-05-31,2012-06-29,2012-07-31,2012-08-31,2012-09-28,2012-10-31,2012-11-30,2012-12-31,2013-01-31,2013-02-28,2013-03-29,2013-04-26,2013-05-31,2013-06-28,2013-07-31,2013-08-30,2013-09-30,2013-10-31,2013-11-29,2013-12-31,2014-01-30,2014-02-28,2014-03-31,2014-04-30,2014-05-30,2014-06-30,2014-07-31,2014-08-29,2014-09-30,2014-10-31,2014-11-28,2014-12-31,2015-01-30,2015-02-27,2015-03-31,2015-04-30,2015-05-29,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-30,2015-11-30,2015-12-31,2016-01-29,2016-02-29,2016-03-31,2016-04-29,2016-05-31,2016-06-30,2016-07-29,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-30,2017-01-26,2017-02-28,2017-03-31,2017-04-28,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-29,2017-10-31,2017-11-30,2017-12-29,2018-01-31,2018-02-28,2018-03-30,2018-04-27,2018-05-31,2018-06-29,2018-07-31,2018-08-31,2018-09-28,2018-10-31,2018-11-30,2018-12-28,2019-01-31,2019-02-28,2019-03-29,2019-04-30,2019-05-31,2019-06-28,2019-07-31,2019-08-30,2019-09-30,2019-10-31,2019-11-29,2019-12-31,2020-01-23,2020-02-28,2020-03-31,2020-04-30,2020-05-29,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-30,2020-11-30,2020-12-31,2021-01-29,2021-02-26,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-30,2021-08-31,2021-09-30,2021-10-29,2021-11-30,2021-12-31,2022-01-28,2022-02-28,2022-03-31,2022-04-29,2022-05-31,2022-06-30,2022-07-29,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-30,2023-01-31,2023-02-28,2023-03-31,2023-04-28,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-28,2023-10-31,2023-11-30,2023-12-29,2024-01-31,2024-02-29
000001.SZ,22.2933,22.0233,23.2133,21.2433,18.2767,17.6100,17.6100,17.6100,17.1100,18.3233,17.3200,16.0600,15.6500,15.7667,16.2333,17.7567,17.7500,16.8233,17.4133,16.6400,16.3600,16.5100,16.0600,15.5967,16.2367,16.9733,16.3167,16.3767,16.0500,15.1633,15.0633,14.5067,13.3733,13.1967,13.0700,14.8900,19.3667,21.6500,21.4900,19.2167,20.3633,13.4800,9.8000,10.4900,12.1233,13.3000,13.5867,12.5800,11.6500,11.5033,10.6267,11.1100,11.3500,10.4500,10.4967,10.4933,10.2667,10.7867,11.7933,14.6933,14.6267,13.8800,15.2133,17.3500,15.7333,14.9133,13.2467,11.1200,10.9367,11.2900,12.0433,12.0933,10.5433,9.7633,10.3867,10.6333,10.4900,9.2567,9.0367,9.4067,9.2000,9.1600,9.4467,9.2967,9.2467,9.4433,9.2600,9.0333,8.9900,9.2900,10.4233,11.0033,11.2900,11.4633,13.2367,13.2667,14.0133,12.6667,11.2633,11.1000,10.4767,9.4733,9.1533,9.7333,10.6667,10.6900,10.5600,9.7500,10.4833,11.9733,12.7367,13.8400,12.4867,13.1100,14.0400,14.1367,15.2467,16.4867,15.9700,16.1967,16.0900,14.7367,13.4500,13.5733,13.2967,13.0667,14.2367,14.7300,15.2867,17.2200,19.1033,19.2133,21.4767,22.6333,21.9267,22.4433,23.9867,23.2267,19.4767,18.7267,18.6433,19.3700,18.1100,17.3133,16.4033,16.2367,14.8500,15.4767,14.5367,14.5767,13.5233,12.4900,12.2500,10.7767,12.2433,13.1933,14.5933,14.0967,13.1267,12.5800,12.2600,11.5267,11.9967,11.5700,11.2733,10.6533,9.9967,9.3533,9.4333,10.3000
000002.SZ,9.7967,9.3367,9.4400,8.4167,7.2867,6.9767,7.7733,8.3800,8.3133,9.2967,8.7033,8.5667,8.4967,8.2800,8.5733,8.6867,7.9867,8.2033,8.3933,8.2567,7.4400,7.7267,7.3667,7.4167,7.5567,8.1267,8.3533,8.7500,9.0967,8.9800,9.3067,8.4467,8.3033,8.3233,8.5800,9.6667,11.9633,11.7500,11.0900,11.2100,11.8167,10.1433,9.8200,9.7733,9.5100,9.1767,8.9133,8.1967,7.4967,6.9533,7.6300,7.9733,8.1333,8.2867,9.3467,9.3700,9.3800,9.3133,10.3467,12.7533,13.4900,12.6733,13.4400,14.3467,14.5433,14.5233,14.3300,14.0900,13.2500,13.5567,14.6267,21.2633,21.2633,21.2633,21.2633,21.2633,21.2633,21.2633,18.6233,23.1700,25.3733,25.6100,26.6700,22.6500,21.1300,20.7833,21.0333,20.0233,20.3867,24.0533,24.3367,23.1233,26.3867,27.9500,30.5833,30.3767,37.0833,33.6533,32.3200,30.0967,26.3367,25.5333,23.4767,22.9900,24.2567,23.1267,25.1733,24.8733,26.5233,27.6967,29.2767,30.2867,27.1033,27.5267,29.4033,26.7333,26.4400,26.7667,27.4667,30.7467,30.4200,28.8767,27.5100,26.6933,25.7400,26.5167,28.3433,27.6233,28.1700,27.5867,30.3633,29.4067,29.0800,31.4800,31.4433,28.6067,27.0533,24.8300,22.0333,20.9433,20.6433,19.7033,18.8733,19.5467,20.9267,19.9567,17.9100,19.6667,18.4100,19.3500,18.3033,16.4267,17.6900,15.0233,17.2067,18.8700,18.6200,17.4767,15.8733,15.3133,14.6000,14.2367,14.8633,14.1233,13.4767,11.8700,11.6033,10.6933,9.6700,9.8533
000004.SZ,9.6233,9.8467,11.5100,11.1067,9.1233,8.8333,9.1100,10.7800,11.3367,11.6200,12.8367,12.0100,12.3133,13.2767,13.6700,13.1800,12.6600,13.0333,13.2900,12.3533,11.0767,10.5600,11.0933,9.0833,7.9867,9.0233,8.7833,8.7300,8.9433,8.7733,9.0933,8.2067,8.2967,8.3067,7.6433,7.7067,9.0800,9.9033,9.7467,10.3967,11.8667,10.3600,10.1600,12.1867,12.6367,12.1000,12.1633,11.3933,12.0833,13.8567,13.2300,13.1633,13.4333,13.6067,14.3433,14.8200,17.8333,21.5367,22.4500,17.7200,16.8367,18.0800,22.4300,25.7333,32.2233,39.2967,29.5967,35.2800,26.8467,30.9367,37.8000,45.1467,33.4667,28.7800,33.5033,33.5033,33.5033,33.5033,33.5033,33.5033,37.8467,40.0167,43.4633,42.9567,39.5000,38.7333,37.6000,37.6000,37.6000,27.6167,22.7933,23.0467,24.1967,24.2867,26.6667,23.2667,21.4233,20.1333,22.3433,21.3833,22.0400,20.0200,18.4633,18.4833,16.1633,15.9100,16.5867,16.7533,15.4833,18.2767,20.4400,23.8933,22.1333,21.8567,19.6700,19.7633,20.0567,18.2533,20.1967,22.2367,22.8500,33.5967,36.0767,29.6867,30.2933,29.6833,30.5100,26.0367,23.9200,25.8900,28.7433,23.1367,19.6700,18.3533,17.7800,17.2833,15.7167,19.5067,22.5233,20.9100,19.3300,17.8300,18.5600,19.1433,21.6800,22.4100,20.0567,14.8800,10.0933,9.4367,9.3100,9.4467,8.8700,8.5800,10.3367,9.9833,10.1133,10.0367,10.0067,10.5033,12.6900,15.0233,18.1167,17.8833,16.1933,17.5000,18.0467,16.6267,14.0767,11.8300
000005.SZ,5.5800,5.4733,6.0867,5.2100,4.3167,4.0200,4.3933,4.8533,4.4800,4.4200,4.0600,3.7733,3.5967,4.0500,4.1433,3.9800,3.9800,3.9800,3.9800,3.9800,3.9800,3.9800,3.9800,3.9800,3.9800,3.9800,3.9800,4.1800,3.6533,3.1500,2.8400,2.9600,2.8967,2.9300,2.7167,2.8200,3.1000,3.0367,2.7900,2.7300,2.7333,2.3700,2.2433,2.4633,2.5300,2.6800,2.6567,2.5633,2.3867,2.3900,2.5200,2.3800,2.2833,2.2567,2.4467,2.5700,3.6967,3.9833,3.9200,4.1433,4.1433,4.1433,4.1433,4.1433,12.4633,10.9133,7.5333,7.2200,6.5633,9.6333,9.9700,9.9633,7.7133,7.4500,7.6333,7.4833,6.9467,7.4433,7.3967,7.4333,7.4933,7.4700,7.4833,6.9733,6.6067,6.5767,6.4333,6.1300,5.2900,5.2700,5.0200,4.8967,5.2133,4.8833,4.3667,4.1167,4.1867,3.8100,3.8933,3.6500,3.5700,3.0467,3.0967,3.0433,2.9867,2.6867,3.0033,2.8167,2.9267,3.3100,3.7700,3.5700,3.1100,3.0200,3.1200,3.0167,3.4500,3.1900,2.9533,3.0800,3.0600,2.7767,2.8700,2.7267,2.5933,2.6733,2.9733,3.0100,2.7233,2.6100,2.6033,2.5467,2.2600,2.0367,2.4800,2.2800,1.8467,1.8567,2.0467,2.2533,2.2267,2.2067,2.1500,2.2833,2.2100,2.2000,2.2067,2.0133,1.8567,1.8300,1.7800,1.8200,1.7400,1.6800,1.8200,1.9300,1.8700,1.8000,1.7833,1.7333,1.2400,1.1533,1.3100,1.4033,1.4433,1.4433,1.4167,1.1600,1.0200,0.8567
000006.SZ,10.3533,10.3100,11.4333,10.4933,6.6200,5.3833,7.8167,8.4067,7.6300,7.6000,7.1800,7.6333,7.4233,7.2567,7.7367,8.0400,7.5067,6.1567,5.7433,5.4767,5.1967,5.2667,4.9200,4.3467,4.3300,5.0167,5.3100,6.1167,6.0933,5.8233,4.7933,4.1633,4.0233,4.1267,4.0300,4.5967,5.3833,5.3167,4.6833,4.5633,4.8300,4.3367,4.1300,4.5833,4.7267,4.7100,5.4967,5.2200,4.4767,4.3767,5.1000,5.1033,4.7133,4.5567,4.8567,5.2833,5.7567,6.0567,6.6500,6.8600,6.5800,6.4933,8.2300,10.8633,14.0367,14.9033,11.4533,12.0467,9.7900,11.2600,11.4767,11.6267,8.5533,7.8500,8.5033,8.1933,7.5100,7.3033,7.5500,8.3400,9.2200,10.1733,9.9633,9.4333,9.0067,8.8833,8.4733,8.7733,8.3167,8.7133,8.4233,8.4900,9.4967,9.4967,9.4967,9.4967,9.4967,9.4967,7.8000,7.0633,7.1233,6.1833,5.7567,5.5600,5.6233,5.0233,5.4333,5.4300,5.2133,5.8367,6.5833,6.4533,5.6033,5.5433,5.4167,5.3400,5.2767,5.1800,5.1800,5.3067,5.2267,4.6033,4.7000,4.8867,4.8500,6.1633,8.0367,7.5300,6.2433,6.2300,5.7933,5.5867,5.1033,5.1400,5.3667,5.4200,5.3133,5.1167,4.6067,4.5467,4.6033,4.2900,4.1500,4.4533,4.3933,4.4167,4.8933,4.6867,4.4067,4.5667,4.4033,4.1767,4.2600,3.8500,5.1133,6.3200,5.7900,5.7000,5.3167,4.8933,4.7467,4.5300,4.8733,5.4200,4.7933,4.3300,4.7900,4.6333,4.4767,3.8567
000007.SZ,7.1200,7.3767,7.6333,7.9733,7.1600,7.2000,7.2867,7.6600,8.0500,8.2800,8.7200,8.6133,8.5233,8.5700,8.9233,9.3133,8.3900,8.0167,8.2600,7.9133,7.7900,7.8533,8.2333,6.8433,6.8800,8.5133,11.1267,11.1700,14.6500,15.0667,15.4400,16.1400,15.8733,16.4067,14.1200,13.7400,16.9233,20.8333,17.7000,16.0600,17.4500,14.2500,14.4533,14.1000,13.8600,14.6300,14.3400,13.5233,13.7767,13.1067,12.4167,12.3667,11.5600,11.5600,11.5600,11.5600,15.9467,16.8433,16.6300,14.6333,14.7467,13.1933,17.3733,23.9167,27.7433,27.7433,27.7433,27.7433,27.7433,27.7433,22.8500,22.5100,22.5100,22.5100,22.5100,22.5100,22.5100,22.5100,18.1533,20.8933,23.5567,25.6400,26.1567,25.4767,24.2767,24.2767,24.2767,24.2767,24.2767,24.2767,15.6767,16.1100,16.2933,16.2933,16.2933,16.2933,16.2933,16.2933,14.4433,13.6633,13.5733,13.3533,13.7667,12.5033,9.4867,7.1833,8.1867,8.2067,5.8933,6.3500,7.5867,6.6433,6.7767,6.8833,6.6000,8.2867,8.3367,9.1833,10.1400,9.8700,9.2300,8.0733,8.3633,8.0000,8.1167,8.6767,9.0333,9.0067,9.2933,9.1167,9.3400,7.8100,3.8333,3.5233,4.1033,3.8900,3.5467,3.9000,4.4500,4.1700,3.9000,4.3133,5.5167,5.8967,6.5233,6.4400,6.2400,6.6767,7.0933,7.1400,7.4467,7.8867,8.1967,7.9300,7.8367,7.8567,7.7367,7.7467,7.7700,6.2200,4.3167,4.1167,4.8600,5.0267,4.6800,4.8267,5.1200,4.9633,4.4567,4.0167
000008.SZ,10.2233,10.5700,12.4433,13.1133,13.1333,10.7967,10.4733,11.9300,12.8367,12.7700,12.9233,11.9900,11.9833,12.7433,11.9833,12.4633,11.8233,11.8400,12.7267,12.2867,11.0633,10.8400,10.4433,7.9400,6.7767,7.4400,9.2833,8.9000,9.5567,11.0500,10.3833,10.4733,10.9167,11.1633,10.2567,10.4067,11.7600,13.3867,14.3267,14.0800,10.1833,8.5700,8.6900,9.4167,9.4833,10.2000,9.7567,9.5300,8.4800,9.3633,9.6867,9.4900,9.4200,8.4400,8.4400,8.4400,13.9967,18.9967,23.2400,22.9000,24.7533,25.6600,30.5700,30.5700,30.5700,30.5700,28.7067,23.7733,14.5933,11.8433,12.3133,11.8433,9.3300,7.8300,9.7633,10.5100,11.1533,10.9600,10.2500,9.6800,9.4967,10.4400,10.0333,9.5267,8.8767,8.7700,8.6800,8.4900,7.3567,7.2233,7.4367,7.9433,8.7700,9.2267,8.6433,8.6100,8.3733,7.7300,7.0733,6.3133,5.8633,5.1933,5.1933,3.9900,4.4267,4.0767,3.9833,3.9600,3.7967,4.4200,4.6500,4.5200,3.8867,3.7900,3.6867,3.4867,3.6933,3.4800,3.4500,3.6700,3.5467,3.1033,3.3200,3.2033,3.0333,2.9500,3.1167,3.1200,2.9667,2.7833,2.7000,2.6267,2.5733,2.3200,2.3267,2.2900,2.2700,2.2333,2.0933,2.1800,2.3200,2.2367,2.1567,2.9033,2.6800,2.7767,2.5767,2.3233,2.6100,2.6000,2.5200,2.4367,2.2867,2.3000,2.4300,2.4000,2.4100,2.5167,2.4333,2.3400,2.4367,2.3633,2.4067,2.4367,2.4467,2.3600,2.4300,2.4000,2.2033,2.0867
000009.SZ,10.9100,11.1300,11.7067,11.4500,9.8667,9.1333,9.1967,10.6633,11.9167,12.5800,16.5367,16.9067,16.4033,21.5800,19.5300,18.6367,16.7367,16.8433,19.3200,19.1833,17.2067,15.5467,17.5933,13.1300,11.9333,13.0633,11.0733,11.2433,11.3033,10.4267,8.7967,8.9567,9.0233,8.9800,8.1800,8.3500,9.4833,9.2800,9.8867,10.0133,12.3767,11.8667,10.9467,10.2900,10.2267,10.1200,9.4767,9.3367,9.1667,10.7500,10.9233,10.3967,10.0733,10.0733,10.0733,12.0500,13.7367,13.1100,12.9967,13.4467,13.1267,14.4867,16.2200,20.7367,21.0400,18.2967,12.5767,11.6333,10.3500,14.8133,18.2967,18.3867,13.4033,11.8467,12.8833,14.1067,12.8633,13.3900,11.6667,11.2067,10.7700,10.5200,10.4100,10.4500,9.7867,9.8233,9.4500,8.7867,7.7100,7.8333,8.9000,8.8267,9.1600,8.4700,7.7167,7.2967,6.7867,5.9133,6.0933,6.0433,5.9000,5.1500,4.9400,4.7600,4.6333,4.0400,4.8133,4.5300,4.2200,4.8800,6.5033,6.4267,5.7800,5.7067,5.0233,4.6433,4.5933,4.6400,4.5667,5.7367,6.7733,7.4800,6.6100,6.4267,6.9967,8.0000,9.1733,7.9800,7.1833,7.5667,7.7000,7.3333,7.1867,9.2467,9.1667,10.0900,10.1833,15.6533,21.0967,25.7767,21.8200,19.7600,18.6100,15.2800,13.4833,13.7400,12.0800,9.4733,11.0600,13.5633,13.7833,15.3733,12.6400,11.7667,12.7933,12.6233,12.3133,12.7733,11.8000,10.9133,11.6300,12.0567,11.6667,10.7900,10.4767,10.2333,11.2900,11.7500,11.4567,11.4200
000010.SZ,11.7667,12.1500,13.3800,14.5000,14.5000,14.5000,14.5000,14.5000,14.5000,14.5000,14.5000,14.5000,14.5000,14.5000,14.5000,14.5000,14.5000,14.5000,14.5000,14.5000,14.5000,14.5000,14.5000,14.5000,14.5000,14.5000,11.3000,11.5167,12.0433,13.6833,13.9633,16.9600,16.9600,15.3533,14.6967,17.4300,17.4300,17.4300,17.4300,22.4600,22.4600,22.4600,7.0933,6.6567,6.8833,8.3433,7.8300,7.4200,7.2633,7.5667,6.7733,5.5967,5.4433,6.1467,6.7600,7.2100,7.7933,8.2133,7.7667,7.6067,7.6067,7.6067,7.6067,7.6067,14.3467,12.6400,8.8033,8.3967,6.3933,8.1967,9.1933,10.0500,8.3633,8.6333,8.5367,8.8767,8.1833,7.6800,7.9000,8.0733,8.6333,8.1967,8.0533,7.6200,7.1433,7.2133,6.9833,6.6033,5.3533,5.0300,4.9633,4.9667,5.2400,6.3267,5.5000,5.3633,5.2367,4.3967,4.5800,3.6333,3.6233,3.8267,4.4033,4.5167,4.8233,4.4000,4.3700,3.5833,3.1733,3.4367,3.7100,3.4767,3.2433,3.4833,3.5900,3.3733,3.3967,3.5267,3.3833,3.4300,3.6833,3.4900,3.5333,3.9633,3.9867,3.8667,4.1367,4.4533,4.4500,4.3833,4.1767,3.9067,3.8867,3.6600,4.2200,4.3267,4.0933,3.9967,3.8600,3.7967,3.7400,3.9400,3.9233,3.8167,3.5367,3.6500,3.4533,3.0367,3.4600,4.0700,3.7333,3.5033,3.3467,3.1800,3.2333,3.6733,3.5367,3.3900,2.9800,2.5667,2.3567,2.2400,2.8467,3.1900,3.3767,3.9400,3.6500,3.2333,2.8867,2.1767
000011.SZ,10.2900,9.7200,11.4433,9.7033,7.2800,7.6167,9.6233,9.1933,8.6567,8.6700,7.9367,7.1267,7.2700,7.3933,7.9000,8.7933,11.2233,11.6000,11.8000,10.0033,8.6500,8.1067,7.4033,6.6167,6.0667,7.5033,7.3000,8.0967,7.8000,7.7467,6.4200,6.1200,6.2067,6.2900,6.0533,6.7067,7.3667,7.1167,6.4367,7.0867,8.3300,8.0200,7.8433,8.7833,8.7867,8.3067,7.8767,7.9433,7.2567,6.9700,7.7533,7.2433,6.8233,6.7667,6.9533,7.7500,8.1400,8.4133,9.4200,9.9167,9.3767,9.1967,11.4300,14.4800,16.3667,16.5433,13.1067,12.0267,10.4300,13.7833,14.5400,14.8633,11.0267,13.2867,14.0233,14.6633,12.9000,13.0167,13.5800,15.4133,16.1333,18.6433,17.6200,18.5533,17.8033,17.5000,16.4567,17.9200,17.5967,19.8733,18.9600,19.6067,20.2067,19.3533,17.7533,16.8700,17.3600,15.4367,15.9300,14.6867,14.1000,11.8800,11.2600,11.3900,11.7500,9.4700,9.8700,9.8700,9.3167,10.3467,11.4900,11.2633,9.9367,9.5200,10.1600,9.8867,10.1333,9.4867,9.0767,9.3367,9.0400,7.6933,8.1800,8.8667,9.1900,14.6000,23.2400,24.0400,18.0567,15.9333,14.1467,12.5467,10.9133,11.0433,13.7767,12.5533,12.5567,12.6567,12.0500,11.9900,12.4700,11.5400,10.7200,11.4733,11.2833,11.0200,11.9600,12.5633,12.3667,12.9700,11.5867,10.1767,9.7233,9.1333,10.9700,12.0733,11.2933,11.4167,10.6200,9.8567,9.7300,9.5033,10.0300,10.8633,10.2133,9.2100,9.6067,8.9800,9.1600,8.1200
