日期,2010-01-29,2010-02-26,2010-03-31,2010-04-30,2010-05-31,2010-06-30,2010-07-30,2010-08-31,2010-09-30,2010-10-29,2010-11-30,2010-12-31,2011-01-31,2011-02-28,2011-03-31,2011-04-29,2011-05-31,2011-06-30,2011-07-29,2011-08-31,2011-09-30,2011-10-31,2011-11-30,2011-12-30,2012-01-31,2012-02-29,2012-03-30,2012-04-27,2012-05-31,2012-06-29,2012-07-31,2012-08-31,2012-09-28,2012-10-31,2012-11-30,2012-12-31,2013-01-31,2013-02-28,2013-03-29,2013-04-26,2013-05-31,2013-06-28,2013-07-31,2013-08-30,2013-09-30,2013-10-31,2013-11-29,2013-12-31,2014-01-30,2014-02-28,2014-03-31,2014-04-30,2014-05-30,2014-06-30,2014-07-31,2014-08-29,2014-09-30,2014-10-31,2014-11-28,2014-12-31,2015-01-30,2015-02-27,2015-03-31,2015-04-30,2015-05-29,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-30,2015-11-30,2015-12-31,2016-01-29,2016-02-29,2016-03-31,2016-04-29,2016-05-31,2016-06-30,2016-07-29,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-30,2017-01-26,2017-02-28,2017-03-31,2017-04-28,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-29,2017-10-31,2017-11-30,2017-12-29,2018-01-31,2018-02-28,2018-03-30,2018-04-27,2018-05-31,2018-06-29,2018-07-31,2018-08-31,2018-09-28,2018-10-31,2018-11-30,2018-12-28,2019-01-31,2019-02-28,2019-03-29,2019-04-30,2019-05-31,2019-06-28,2019-07-31,2019-08-30,2019-09-30,2019-10-31,2019-11-29,2019-12-31,2020-01-23,2020-02-28,2020-03-31,2020-04-30,2020-05-29,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-30,2020-11-30,2020-12-31,2021-01-29,2021-02-26,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-30,2021-08-31,2021-09-30,2021-10-29,2021-11-30,2021-12-31,2022-01-28,2022-02-28,2022-03-31,2022-04-29,2022-05-31,2022-06-30,2022-07-29,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-30,2023-01-31,2023-02-28,2023-03-31,2023-04-28,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-28,2023-10-31,2023-11-30,2023-12-29,2024-01-31,2024-02-29
000001.SZ,22.3836,22.4057,22.6705,21.9670,20.4813,19.4909,19.4909,19.4909,18.4006,18.4037,17.7325,17.0850,16.4933,16.3056,16.2304,16.8869,17.1446,17.1197,17.1932,17.0788,16.7325,16.7817,16.3578,16.1019,16.2812,16.5542,16.2728,16.3685,16.1423,15.8149,15.5766,15.1144,14.4529,14.0220,13.6146,14.4164,16.6443,18.7629,19.2152,19.0435,19.6923,16.4516,14.1644,12.9796,12.6131,13.0420,13.2280,12.9020,12.4013,11.9776,11.5750,11.4300,11.4534,10.9389,10.9159,10.6940,10.5093,10.6829,11.2686,12.7924,13.1716,13.4444,14.2129,15.0420,15.1346,14.9364,14.0776,13.0751,12.2134,11.9289,11.8659,11.9073,11.2715,10.7010,10.6807,10.6438,10.6125,9.9750,9.7167,9.6411,9.4507,9.3505,9.4170,9.3113,9.3176,9.3717,9.3045,9.1996,9.1998,9.2632,9.7321,10.2481,10.5354,10.8703,11.7068,12.2379,12.8419,12.5780,12.0186,11.6291,11.1461,10.4607,10.1138,10.1192,10.4295,10.5896,10.5131,10.1354,10.4569,11.0913,11.6675,12.3950,12.3233,12.8089,13.2493,13.5528,14.2319,14.9079,15.0353,15.5069,15.5179,15.1786,14.3857,14.2338,13.8225,13.4817,13.4345,13.9830,14.3787,15.5024,16.9150,17.7233,19.5122,20.1348,20.7599,21.6032,22.4688,22.5192,20.9095,19.8730,19.2253,19.3169,18.6913,17.9542,17.2461,16.7474,16.2916,15.9677,15.3652,15.2368,14.3845,13.8397,13.1731,12.2287,12.4958,12.7172,13.4748,13.5765,13.2277,13.0018,12.5345,12.0997,12.1731,11.8254,11.6169,11.2313,10.7142,10.2728,10.0019,10.1979
000002.SZ,10.4321,10.0980,9.8987,9.1991,8.5361,7.9507,8.0638,8.1825,8.2550,8.7367,8.5345,8.4296,8.3531,8.2887,8.4225,8.4417,8.2411,8.3107,8.2572,8.2214,7.8943,7.9295,7.6397,7.5831,7.6054,7.8303,7.9802,8.3135,8.6256,8.7204,8.8903,8.6002,8.5435,8.4690,8.5626,9.0818,10.0578,10.7052,10.7235,10.8257,11.2104,10.7570,10.3446,10.0498,9.7432,9.5654,9.2970,8.8746,8.3764,7.8243,7.9129,7.9086,8.1224,8.1716,8.7477,8.8718,8.9745,9.1164,9.7109,11.1073,11.7782,12.1021,12.6747,13.3165,13.6610,13.9473,14.0249,13.9499,13.5433,13.5855,14.0803,17.5302,17.5302,17.5302,17.5302,17.5302,17.5302,17.5302,17.4002,19.9101,21.9967,22.9712,24.3074,23.0550,22.2633,21.6855,21.3170,20.7113,20.8942,22.2528,22.6252,22.8268,23.9679,25.6319,27.4946,28.6831,31.6420,31.9947,32.4265,31.0843,29.2529,27.7019,26.2413,25.5109,25.1072,24.8148,25.0232,24.6221,25.6648,26.4398,27.8666,28.2044,27.7029,27.7386,28.0791,27.3194,26.8463,26.7408,27.0606,28.7670,28.8380,29.0887,27.9425,27.5616,26.9411,26.6741,26.7294,26.9096,27.2797,27.3698,28.4799,28.5533,28.2988,29.8992,29.9328,29.3452,28.4635,26.9123,24.8282,23.1521,22.5381,21.0954,20.1503,20.0202,20.1235,19.8156,19.5938,19.5225,18.9517,19.4678,18.7152,18.0201,17.9567,16.4778,17.2019,17.5346,17.7864,17.5709,16.7940,16.2426,15.5751,15.0567,15.1212,14.6274,14.1116,13.1844,12.6029,11.8886,11.1258,10.7638
000004.SZ,8.5623,9.1616,9.9010,10.0540,9.7027,9.2785,9.3956,10.0338,10.4858,10.9939,11.6159,11.7573,11.8882,12.5088,12.7325,12.6717,12.5411,12.4507,12.7905,12.5537,11.8358,11.4939,11.2626,10.2050,9.5600,9.5167,9.0545,8.8796,9.0498,8.8565,8.5643,8.3562,8.2775,8.2617,7.9211,8.0074,8.4449,8.9800,9.1666,9.6578,10.3485,10.2323,10.1849,10.8433,11.4722,11.5381,11.8621,11.7914,11.9609,12.6739,12.7060,12.9573,13.0215,13.3077,13.7418,13.9979,15.5719,17.8346,19.3564,18.0943,17.8462,18.1375,20.0850,21.8333,25.8255,30.0504,29.8502,30.5535,28.8223,30.0482,33.3121,37.5081,34.3387,31.9458,33.5739,33.5739,33.5739,33.5739,33.5739,33.5739,34.8693,36.5462,38.4241,40.5827,39.8185,39.5457,38.3638,38.3638,38.3638,34.1259,30.1872,27.8415,26.5843,25.6096,25.5930,24.5220,23.0813,22.2542,22.4528,21.9185,22.1290,21.2860,20.3040,19.3293,18.1862,17.3042,16.9428,16.6385,16.0923,17.2116,18.6977,20.8918,21.0945,21.1364,20.2576,20.1184,19.6789,19.1826,19.4251,20.4801,21.2600,27.7400,28.6633,28.3356,28.5170,28.9580,28.8654,27.7702,26.2102,26.3401,26.7667,24.7445,23.2497,21.7831,20.2187,18.7892,17.8728,18.1018,19.3979,19.3486,19.2257,18.4138,18.5492,18.8395,19.5163,20.2009,20.1373,17.6182,14.9654,12.9470,11.7013,10.9142,10.0895,9.6396,9.8264,9.7776,9.9751,9.9434,9.9289,10.1193,11.2062,12.5541,14.3161,15.0341,15.3660,16.0274,16.4682,16.3555,15.0203,14.1802
000005.SZ,5.3088,5.4025,5.5883,5.3222,5.0015,4.6110,4.6307,4.7104,4.5970,4.5080,4.2886,4.0824,3.8883,4.0089,4.0226,3.9684,3.9684,3.9684,3.9684,3.9684,3.9684,3.9684,3.9684,3.9684,3.9684,3.9684,3.9684,3.9689,3.8226,3.5517,3.2778,3.1119,3.0246,2.9831,2.8287,2.8758,2.9505,2.9704,2.8802,2.7902,2.7768,2.6112,2.4708,2.5039,2.4892,2.5428,2.5819,2.5546,2.4864,2.4409,2.4706,2.4104,2.3569,2.3246,2.3831,2.4487,2.9491,3.2661,3.5107,3.7072,3.7072,3.7072,3.7072,3.7072,7.7448,8.2232,8.0088,7.2992,6.9261,8.0208,8.4538,8.9826,8.3084,7.8489,7.7893,7.5729,7.3652,7.4235,7.3357,7.3938,7.3725,7.3683,7.3856,7.1770,6.9714,6.8342,6.6428,6.3686,5.9790,5.7327,5.4685,5.2756,5.2004,5.0436,4.7624,4.5549,4.3800,4.1933,4.0822,3.9148,3.7565,3.4910,3.3773,3.2382,3.1388,3.0025,3.0017,2.8945,2.8730,3.0620,3.2980,3.2987,3.2091,3.1527,3.0752,3.0834,3.1156,3.0838,3.0325,3.0517,3.0244,2.9463,2.8775,2.8117,2.7311,2.6974,2.7716,2.8277,2.7452,2.6734,2.6423,2.6049,2.4499,2.3466,2.3711,2.3207,2.1305,2.0470,2.0613,2.1709,2.1506,2.1637,2.1725,2.2150,2.1900,2.1933,2.2156,2.0970,2.0280,1.9587,1.9158,1.8872,1.8181,1.7621,1.8047,1.8231,1.8321,1.8181,1.8020,1.7847,1.5265,1.4410,1.4207,1.4171,1.4281,1.4254,1.4169,1.3013,1.1809,1.1106
000006.SZ,10.9298,10.7465,11.1544,10.6096,8.8930,7.6487,8.0758,8.1105,7.8704,7.6769,7.4113,7.2642,7.2128,7.2152,7.4235,7.5390,7.3760,6.8540,6.4960,6.1473,5.7849,5.6299,5.3066,4.9044,4.7329,4.9120,5.1113,5.5242,5.7228,5.7185,5.1790,4.7893,4.5296,4.4030,4.2220,4.4647,4.8198,4.9499,4.7999,4.6666,4.7777,4.6052,4.4168,4.5312,4.5608,4.6272,5.0148,4.9865,4.7810,4.6207,4.8771,4.8681,4.8154,4.7369,4.8146,4.9997,5.2865,5.6177,6.0584,6.3890,6.4260,6.4740,7.2493,8.7262,11.0175,11.8683,11.8189,11.4159,10.7439,11.0826,11.0884,11.2289,9.9693,9.0962,8.8308,8.5305,8.1470,7.8880,7.7353,7.9902,8.5468,8.9779,9.1853,9.2735,9.0723,8.9749,8.7433,8.6022,8.5314,8.6243,8.5862,8.5408,8.9772,8.9772,8.9772,8.9772,8.9772,8.9772,8.4415,7.9576,7.6151,7.0301,6.6400,6.2300,6.0534,5.7256,5.6137,5.4691,5.3594,5.6063,5.9875,6.0250,5.8467,5.7145,5.5730,5.4820,5.3313,5.2975,5.2384,5.2789,5.2126,5.0184,4.8389,4.8893,4.8629,5.5119,6.4346,6.4197,6.4232,6.1888,6.0358,5.8939,5.5493,5.4195,5.4063,5.4009,5.3539,5.2393,4.9662,4.8208,4.7105,4.5304,4.3869,4.4113,4.3708,4.3606,4.6237,4.5358,4.4972,4.5681,4.4521,4.3714,4.2909,4.0806,4.6671,5.2114,5.3543,5.4795,5.3463,5.1776,4.9917,4.7845,4.8930,5.0053,4.8502,4.6735,4.6590,4.6360,4.4807,4.3404
000007.SZ,6.8589,7.1626,7.2917,7.6012,7.4108,7.2872,7.3848,7.5399,7.7866,7.9510,8.2340,8.3394,8.3429,8.4519,8.5513,8.7509,8.4439,8.2859,8.2640,8.2326,8.0284,8.0256,8.0271,7.5447,7.3665,7.9710,9.1607,9.9371,11.8581,12.8520,14.0780,14.7087,14.9358,15.3172,14.4215,14.4376,15.7218,17.0278,16.6119,16.4746,16.6464,15.5143,15.1195,14.8463,14.3676,14.4550,14.3567,14.1978,13.9585,13.6124,13.1249,12.7766,12.3544,12.3544,12.3544,12.3544,13.7829,14.8720,15.3546,15.1031,14.8887,14.3192,15.9294,19.4196,22.6697,22.6697,22.6697,22.6697,22.6697,22.6697,22.3932,22.8588,22.8588,22.8588,22.8588,22.8588,22.8588,22.8588,21.0892,21.5261,22.4574,23.5783,24.2155,24.6870,24.3947,24.3947,24.3947,24.3947,24.3947,24.3947,21.8531,19.8087,18.7592,18.7592,18.7592,18.7592,18.7592,18.7592,17.2828,16.0519,15.2446,14.6264,14.2176,13.5551,11.6467,10.1811,9.1708,8.8005,7.4670,7.2680,7.2620,6.9413,7.0076,6.9484,6.8389,7.2259,7.6106,8.0571,8.7081,8.9720,9.0180,8.8887,8.6225,8.4016,8.3311,8.4641,8.5094,8.6996,8.9331,8.9087,9.1025,8.3916,6.4744,5.6696,5.0697,4.6265,4.3177,4.2484,4.2856,4.2271,4.2281,4.2787,4.8158,5.2405,5.6170,5.8313,5.9976,6.2884,6.6423,6.8382,7.0154,7.3570,7.5913,7.7275,7.6650,7.7034,7.6756,7.6970,7.6880,6.9420,5.9580,5.4620,5.2313,5.1809,4.9539,4.9760,5.0273,4.9749,4.8066,4.5311
000008.SZ,9.8441,10.2627,11.1885,11.5590,12.2927,11.4884,11.3490,11.6760,12.1773,12.3449,12.3633,12.2322,12.1748,12.4832,12.2488,12.2492,11.9295,12.0796,12.2631,12.2254,11.6236,11.3691,10.8960,9.5874,8.7316,8.3944,8.7229,8.7286,9.1991,9.9427,9.8285,10.3023,10.5349,10.7366,10.4311,10.5307,11.1238,12.0125,12.9317,13.1878,11.6985,10.5390,10.0327,9.6551,9.6401,9.5967,9.7478,9.4985,9.1890,9.3294,9.3862,9.3508,9.1505,8.9004,8.9004,8.9004,11.3169,14.2613,17.6308,19.1172,21.2348,22.7832,24.1455,24.1455,24.1455,24.1455,25.2037,24.6358,19.1905,17.1403,15.3602,14.1668,12.2379,10.5919,10.6646,10.6831,10.9754,10.9469,10.6413,10.2442,10.0595,9.9763,10.0042,9.7761,9.4208,9.2005,9.0470,8.7247,8.1798,7.8799,7.7666,7.8644,8.2529,8.5619,8.5346,8.6064,8.4976,8.1851,7.7367,7.1611,6.6341,6.0761,6.0761,5.3507,5.0338,4.8259,4.4706,4.2771,4.0647,4.2665,4.3843,4.3529,4.1719,4.0379,3.8953,3.7502,3.6435,3.5723,3.5515,3.5777,3.5251,3.3901,3.3067,3.2645,3.1730,3.0953,3.0769,3.0679,3.0053,2.9002,2.8401,2.7401,2.6534,2.5523,2.4648,2.3899,2.3466,2.3044,2.2163,2.2208,2.2306,2.2137,2.1991,2.4461,2.4807,2.5605,2.5537,2.4458,2.5705,2.5470,2.5380,2.4953,2.3969,2.3479,2.3753,2.3502,2.3801,2.4301,2.4101,2.3967,2.4145,2.3963,2.4142,2.3961,2.4108,2.3938,2.4159,2.3973,2.3082,2.2554
000009.SZ,11.0702,11.1501,11.3967,11.3312,10.8374,10.0916,10.0478,10.4318,10.9379,11.7153,13.5268,14.6079,15.6586,17.7324,17.8849,17.7466,17.2377,17.2318,17.8812,18.2275,17.5117,16.9111,16.9307,14.9205,14.2470,13.6013,12.4476,12.0050,11.8167,11.2111,10.2074,9.7383,9.4622,9.2281,8.7187,8.7458,9.0672,9.0815,9.3743,9.5562,10.6941,10.7961,10.6741,10.4227,10.3818,10.2079,10.0686,9.8624,9.6983,10.1922,10.3081,10.2254,10.2203,10.2203,10.2203,11.1702,11.8768,12.2412,12.6008,12.7172,12.8348,13.6099,14.6399,17.2199,18.2200,17.5833,15.2889,13.8759,12.7806,13.8537,15.9025,16.5883,15.0089,13.6659,13.6873,13.6849,13.3966,13.4977,12.3785,12.0257,11.4771,11.1114,10.8209,10.6673,10.2815,10.1077,9.7951,9.3267,8.6678,8.4752,8.8335,8.7490,8.8293,8.6029,8.2686,7.9224,7.3949,6.9433,6.6522,6.3748,6.1599,5.7399,5.4999,5.2066,5.0178,4.6852,4.7134,4.5790,4.4093,4.6595,5.3430,5.6220,5.6780,5.6887,5.3524,5.1016,4.8711,4.7674,4.6683,5.1755,5.6103,6.2102,6.1002,6.2534,6.4690,7.1493,7.5562,7.5875,7.3916,7.4478,7.4452,7.4735,7.2756,8.0771,8.2781,9.0254,9.4269,12.3746,15.3231,19.5520,19.4280,19.9220,19.1913,17.6042,16.0062,15.2574,13.9016,12.2677,12.0918,12.5579,13.1153,13.6635,12.8490,12.4193,12.6462,12.4608,12.4805,12.5870,12.1814,11.6776,11.8150,11.9000,11.7734,11.4022,11.0748,10.8265,11.1144,11.3229,11.1486,11.3991
000010.SZ,10.6987,11.2958,12.1305,12.9637,12.9637,12.9637,12.9637,12.9637,12.9637,12.9637,12.9637,12.9637,12.9637,12.9637,12.9637,12.9637,12.9637,12.9637,12.9637,12.9637,12.9637,12.9637,12.9637,12.9637,12.9637,12.9637,12.0491,11.9961,12.2141,12.7427,12.9585,14.9323,14.9323,14.8049,14.9433,16.1955,16.1955,16.1955,16.1955,18.7537,18.7537,18.7537,14.4991,11.9727,10.2785,9.6323,8.9349,8.5133,7.9755,7.7470,7.2713,6.6809,6.2006,6.3237,6.5158,6.8072,7.1315,7.4877,7.5418,7.4945,7.4945,7.4945,7.4945,7.4945,10.8130,10.8120,9.9713,9.0309,8.0773,8.2848,8.5466,9.0644,8.8362,8.5575,8.4817,8.6244,8.3296,8.1631,8.0054,8.1169,8.2146,8.0731,7.9721,7.8780,7.6220,7.4447,7.2231,6.8921,6.2547,5.8531,5.5388,5.3792,5.3695,5.5896,5.4364,5.4309,5.2073,4.9549,4.8066,4.2877,4.0385,3.9957,4.2104,4.3103,4.4802,4.4468,4.3545,3.9897,3.6465,3.6143,3.5729,3.5219,3.4913,3.4309,3.5039,3.4593,3.4262,3.4641,3.4094,3.4063,3.5075,3.4917,3.4945,3.6763,3.7875,3.7917,3.9111,4.1841,4.0927,4.0385,4.0857,4.0271,3.9247,3.8132,3.9088,4.0058,4.0206,4.0137,3.9625,3.8950,3.8233,3.8622,3.8581,3.8288,3.6725,3.6650,3.5800,3.3367,3.4178,3.6152,3.6401,3.6034,3.4523,3.3149,3.3232,3.4655,3.4570,3.4113,3.2142,2.9995,2.7363,2.5842,2.7728,2.9252,3.1268,3.4512,3.4275,3.3450,3.0500,2.8167
000011.SZ,10.8960,10.5940,10.9793,10.0796,9.0897,8.7598,9.0532,9.0221,8.7881,8.7654,8.2936,7.8057,7.5405,7.5470,7.6080,8.1687,8.9758,10.0405,10.4270,10.1313,9.4876,9.0484,8.3322,7.6115,7.1043,7.4129,7.1753,7.5035,7.5857,7.5504,6.9636,6.6358,6.4572,6.3648,6.1399,6.4899,6.7466,6.8644,6.6329,6.8853,7.4835,7.6324,7.6916,8.1510,8.2907,8.1938,8.1059,8.0072,7.7348,7.4366,7.5944,7.3396,7.1897,7.0298,7.0599,7.3266,7.6377,8.0285,8.6123,9.0682,9.1455,9.2237,10.1524,11.6450,13.7633,14.1422,14.7948,13.2599,12.2632,13.2088,13.4759,13.8239,12.5026,12.5684,13.1223,13.4282,13.1521,13.2314,13.2709,14.0473,15.0282,16.0855,16.2670,17.0880,16.9287,17.0191,16.7527,16.9185,17.2490,18.1660,18.4740,18.9427,19.0951,19.1767,18.5112,17.9374,17.5450,16.8666,16.5778,15.7252,15.0034,13.6923,12.9015,12.4544,12.1762,11.0842,10.6428,10.1552,9.7868,10.1379,10.6486,10.6990,10.3194,10.0629,9.9719,10.0046,9.8664,9.5976,9.4017,9.4045,9.2097,8.6831,8.5587,8.7292,8.9828,11.3218,16.2312,17.5442,17.6494,16.4296,15.5597,14.4298,13.0266,12.3944,12.7529,12.4019,12.5513,12.4209,12.1406,12.1571,12.1414,11.7709,11.3573,11.4582,11.2821,11.1281,11.7387,11.8158,12.1772,12.6215,11.9743,11.3262,10.6141,10.1428,10.5218,10.8779,11.0453,11.1902,10.8301,10.4434,10.1056,9.8337,10.0325,10.3150,10.1333,9.7456,9.6204,9.3669,9.1113,8.8575
