,tapi,cci,vma,srmi,cdp,expma
000001.SZ,"3,046,634,480.6254",-50.7518,"2,648,510,393.0000",-0.0659,10.4800,10.2953
000002.SZ,"2,714,595,490.2338",-108.9935,"1,911,126,702.0000",-0.3409,9.5100,10.2559
000004.SZ,"289,210,543.4673",7.7977,"205,681,091.2000",0.0129,14.8267,14.6035
000005.SZ,"103,541,829.6024",-122.4076,"240,182,013.6000",-0.3465,0.8867,1.0170
000006.SZ,"413,819,898.1005",-135.3215,"628,202,795.6000",-0.1121,3.9767,4.1870
000007.SZ,"72,091,959.7200",-64.1582,"42,669,211.6000",0.0067,4.3200,4.5207
000008.SZ,"3,292,671,558.0332",129.6510,"943,288,973.4000",0.0207,2.5467,2.3070
000009.SZ,"446,889,774.1960",-45.9243,"421,155,518.0000",-0.1292,11.0300,11.1027
000010.SZ,"522,516,186.9087",-87.9664,"705,732,415.2000",0.0087,2.3433,2.6444
000011.SZ,"88,922,455.9600",-125.3497,"130,120,417.8000",-0.1130,8.3800,8.6517
000012.SZ,"281,670,570.8856",-61.0518,"246,400,906.0000",-0.0906,5.5567,5.5521
000014.SZ,"310,377,203.2928",42.1783,"287,066,874.6000",0.1020,12.3767,12.1481
000016.SZ,"548,880,494.7147",-121.4346,"425,913,409.6000",-0.2797,3.4333,3.5989
000017.SZ,"1,271,489,686.0638",125.4822,"887,273,691.0000",0.4988,9.3267,8.2867
000019.SZ,"143,201,970.7535",-157.1962,"138,373,792.8000",-0.1199,6.5633,6.9165
000020.SZ,"273,973,268.5939",130.7573,"207,847,121.6000",0.2271,15.1033,14.1957
000021.SZ,"1,028,560,429.9315",-74.6569,"801,959,770.6000",-0.3132,14.2233,14.5738
000023.SZ,"61,246,620.9846",-126.0156,"35,185,229.4000",-0.4150,4.1033,5.0012
000025.SZ,"136,909,888.3750",-107.7095,"179,317,752.4000",-0.1899,15.1133,15.6756
000026.SZ,"110,789,680.4254",-89.8615,"124,642,129.8000",-0.1327,10.3400,10.3868
000027.SZ,"503,271,089.0072",126.2380,"428,369,144.2000",0.0491,6.8300,6.5754
000028.SZ,"85,693,288.9070",-55.0269,"112,433,266.2000",-0.3073,30.7367,30.8759
000029.SZ,"72,014,398.7139",-63.7052,"111,209,060.4000",0.0119,11.2033,11.2419
000030.SZ,"193,942,690.0457",9.5238,"267,517,879.0000",0.0400,5.1733,5.1438
000031.SZ,"276,752,334.8052",-126.5079,"352,517,915.6000",-0.2705,2.7200,2.9198
000032.SZ,"617,230,704.0494",-77.7595,"642,304,161.6000",-0.4398,19.2467,19.7564
000034.SZ,"717,672,538.7237",111.4514,"554,108,987.4000",0.1447,31.9000,29.4197
000035.SZ,"514,527,506.2277",-98.1612,"499,550,160.8000",-0.0699,4.2700,4.4952
000036.SZ,"238,441,664.5138",-190.3140,"287,908,762.2000",-0.2961,2.9433,3.2937
000037.SZ,"413,787,602.0011",-9.3909,"345,895,044.2000",-0.2584,8.8700,8.8667
000039.SZ,"793,048,307.0713",202.1875,"560,918,371.0000",0.2445,9.0000,8.4044
