,tapi,atr,vma,cdp,expma
000001.SZ,"3,509,150,223.0406",2.1700,"2,293,809,909.6000",10.3000,10.1979
000002.SZ,"1,604,965,621.4512",1.4600,"1,595,348,958.0000",9.8533,10.7638
000004.SZ,"126,115,046.4272",5.7900,"198,282,959.0000",11.8300,14.1802
000005.SZ,"313,761,291.6495",0.3400,"251,692,516.2000",0.8567,1.1106
000006.SZ,"463,688,180.5246",0.9300,"602,516,418.4000",3.8567,4.3404
000007.SZ,"42,177,536.1030",0.7600,"40,655,456.6000",4.0167,4.5311
000008.SZ,"333,754,865.1488",0.3500,"418,655,492.0000",2.0867,2.2554
000009.SZ,"516,239,577.8580",2.7400,"383,736,193.4000",11.4200,11.3991
000010.SZ,"483,670,925.2426",0.9800,"950,010,717.6000",2.1767,2.8167
000011.SZ,"97,975,887.2335",1.4100,"126,472,951.6000",8.1200,8.8575
000012.SZ,"270,261,561.9667",0.8300,"227,580,309.6000",5.5567,5.6182
000014.SZ,"333,093,554.8934",2.9000,"241,693,450.8000",11.5233,11.8521
000016.SZ,"398,094,274.4055",1.0400,"353,964,257.0000",3.0467,3.6983
000017.SZ,"1,917,002,279.8075",4.2000,"678,599,376.4000",10.9667,8.1200
000019.SZ,"170,990,278.1638",1.7800,"122,730,561.0000",6.6333,7.1098
000020.SZ,"313,796,930.8569",5.7700,"160,017,826.6000",13.9233,13.8085
000021.SZ,"607,977,992.1310",4.4000,"713,938,864.2000",13.0133,14.9957
000023.SZ,"58,204,614.1013",1.3700,"31,947,988.0000",4.5167,5.5567
000025.SZ,"179,588,078.7402",4.7300,"169,978,947.2000",14.5933,16.1134
000026.SZ,"100,836,980.4719",2.1500,"115,942,637.0000",9.1233,10.3502
000027.SZ,"438,153,493.8771",0.9800,"371,312,554.6000",6.3567,6.3981
000028.SZ,"95,855,790.2561",5.4000,"111,088,526.0000",30.4233,31.2088
000029.SZ,"122,537,811.4889",2.4700,"111,205,079.4000",10.9133,11.3929
000030.SZ,"237,230,833.1915",1.2400,"260,383,318.0000",4.6000,5.0907
000031.SZ,"353,122,619.0106",0.7600,"341,920,040.2000",2.7100,3.0447
000032.SZ,"476,491,399.5043",6.9600,"578,214,652.6000",17.9367,20.4196
000034.SZ,"394,550,661.1199",11.9300,"535,259,226.0000",27.6100,28.5846
000035.SZ,"612,583,493.3149",1.2500,"470,688,345.2000",3.8433,4.6128
