,202402
600193.SH,-0.15726053915958305
600421.SH,-0.17173974284785865
600778.SH,-0.17375192338501996
600969.SH,-0.17482726770498117
002054.SZ,-0.17891097583805918
000504.SZ,-0.18026804825370119
603669.SH,-0.18488524530575068
600865.SH,-0.18554902689066222
002633.SZ,-0.18910580647510705
600382.SH,-0.19002074290805582
600539.SH,-0.19118343606177063
600857.SH,-0.19156925364895155
601002.SH,-0.19266899393576342
600051.SH,-0.1940267813426352
002391.SZ,-0.19507284979988435
002634.SZ,-0.19525997292379405
603020.SH,-0.19578885323810308
002734.SZ,-0.1979422075773759
002672.SZ,-0.199232397280895
600847.SH,-0.19949336349449365
000833.SZ,-0.19974803851236672
600965.SH,-0.20353117061631418
603311.SH,-0.20367636548952125
002082.SZ,-0.2066118789875955
600644.SH,-0.20679035678302277
002227.SZ,-0.20722726714910084
600624.SH,-0.21068709288215381
002360.SZ,-0.21267504112251828
603017.SH,-0.21309760252841964
000668.SZ,-0.21393250753255486
000809.SZ,-0.21429602785063703
600768.SH,-0.21505467092962166
002365.SZ,-0.21623306054461333
000576.SZ,-0.21704227478927016
002016.SZ,-0.2179667309333467
002404.SZ,-0.2189571084144626
002562.SZ,-0.2194217548836906
000695.SZ,-0.2210897133345998
603818.SH,-0.22179092668914913
002109.SZ,-0.22195839939197648
600617.SH,-0.2220832535182748
002769.SZ,-0.22209049459896718
600774.SH,-0.22440899127672953
600793.SH,-0.22481454171681542
601368.SH,-0.2248306008359319
002760.SZ,-0.2251886861101226
600784.SH,-0.22643209581471888
002286.SZ,-0.22655402359786053
002105.SZ,-0.22666151701939818
600370.SH,-0.22874103619469374
002346.SZ,-0.22920987659292164
002524.SZ,-0.22949743543882034
600796.SH,-0.23070168812986797
600917.SH,-0.23087100883406497
600084.SH,-0.2308727409317456
600802.SH,-0.2321794427941589
002072.SZ,-0.23354111449410087
600356.SH,-0.23393986704534486
603968.SH,-0.23419909181213888
002144.SZ,-0.2344783762551821
002688.SZ,-0.23472235999365854
000626.SZ,-0.23509109456798408
002350.SZ,-0.23536705967833146
000952.SZ,-0.23623908158132637
600681.SH,-0.23731907028904076
600620.SH,-0.23776165483353567
600834.SH,-0.2391884231967409
002678.SZ,-0.23976239853416173
000055.SZ,-0.2398897584030503
603188.SH,-0.2399539226670011
600722.SH,-0.24257763248375125
002661.SZ,-0.2429182551523258
000605.SZ,-0.24368979490842774
002187.SZ,-0.2439422282168587
600714.SH,-0.24396331419870526
600241.SH,-0.2452590175396812
002695.SZ,-0.24615396409744725
002246.SZ,-0.24655924120031586
002644.SZ,-0.2466849210668729
002084.SZ,-0.24675669448585802
000911.SZ,-0.24740146203993607
002107.SZ,-0.24755117609527713
002772.SZ,-0.24791296747641134
002134.SZ,-0.24820215813212732
600319.SH,-0.2482637708638904
002441.SZ,-0.24873237269950765
000929.SZ,-0.24873756315805942
002636.SZ,-0.25024294077837766
002637.SZ,-0.25096386447462615
603988.SH,-0.2519763365771756
600855.SH,-0.25417845746603285
601579.SH,-0.2546533658049792
002169.SZ,-0.2547120795447894
000788.SZ,-0.2547549866855678
002686.SZ,-0.2564035010683283
002264.SZ,-0.2570428714523578
000782.SZ,-0.2574681403422124
002188.SZ,-0.25751978430370814
000953.SZ,-0.2576385337567496
002427.SZ,-0.25772749547740714
002616.SZ,-0.25822846387451365
600883.SH,-0.25823604955956925
600381.SH,-0.25848535205742257
000590.SZ,-0.259406243787423
600731.SH,-0.2596036772048956
603808.SH,-0.259823726688449
002679.SZ,-0.2604064301235513
600173.SH,-0.2609258743065158
600628.SH,-0.2609471726367184
600833.SH,-0.26167005263382087
603022.SH,-0.2622797320483561
002066.SZ,-0.26247461812702416
600184.SH,-0.2627019003805055
600505.SH,-0.2631892287504782
000601.SZ,-0.2632234887783609
002718.SZ,-0.2635653277674121
002574.SZ,-0.2635741368617951
002573.SZ,-0.26368361459306616
000803.SZ,-0.2638538009662142
002696.SZ,-0.2639570912856909
002480.SZ,-0.2644978664936604
603222.SH,-0.26450588373326034
000995.SZ,-0.2647436645339675
600668.SH,-0.2648950781054776
002213.SZ,-0.2650426738841471
600281.SH,-0.26579431536825404
002775.SZ,-0.26591695161404916
002399.SZ,-0.2664201654601155
600149.SH,-0.26673932739019673
600817.SH,-0.2668176410451686
600841.SH,-0.26704292416969155
002282.SZ,-0.2670921077462497
600790.SH,-0.26717813057095696
600052.SH,-0.2672209307361232
002715.SZ,-0.2673699959364885
600650.SH,-0.2677960104051528
002198.SZ,-0.2679836475072202
000859.SZ,-0.2685963952374992
603898.SH,-0.26859947728693434
000531.SZ,-0.26887203671938004
000159.SZ,-0.26922326507320976
600429.SH,-0.26923357333452425
002492.SZ,-0.2695383752886398
000779.SZ,-0.2701732947800638
600590.SH,-0.2703040896025215
601003.SH,-0.27082960159320196
002111.SZ,-0.2708455206754351
600231.SH,-0.2710106016814756
002658.SZ,-0.2710168625604384
600800.SH,-0.27141948292375695
600749.SH,-0.2736392729554919
002743.SZ,-0.27401890495248316
002295.SZ,-0.2742297758703478
002267.SZ,-0.2748409232892254
002552.SZ,-0.27491505619129647
600232.SH,-0.27541707826268647
000411.SZ,-0.27666986214000444
000702.SZ,-0.2768964337438012
002538.SZ,-0.27721589411860215
603618.SH,-0.2775601613588568
002376.SZ,-0.27756353171628706
600163.SH,-0.2776568257978385
000553.SZ,-0.27787604916970304
002278.SZ,-0.2779545044062338
600488.SH,-0.2780567070821863
600371.SH,-0.2794749213946172
600854.SH,-0.28017086027039995
603869.SH,-0.28048085844031834
002620.SZ,-0.280631320670846
002759.SZ,-0.2812104232421633
002330.SZ,-0.281313141935134
000430.SZ,-0.28161916616692484
000931.SZ,-0.2823683880685482
002566.SZ,-0.2833204419635923
000042.SZ,-0.2833533167186
600101.SH,-0.28390716723358556
600283.SH,-0.28427725864726205
002724.SZ,-0.2844947347201107
002730.SZ,-0.28452785709863054
002062.SZ,-0.2848799674674
600753.SH,-0.2851169129157154
002522.SZ,-0.28520589418083087
600455.SH,-0.2853595854937602
002462.SZ,-0.2854453921250535
600538.SH,-0.2859266251515661
002650.SZ,-0.28654743602849225
601616.SH,-0.2866586989479398
600616.SH,-0.2870915579678452
002297.SZ,-0.2871516975535279
002581.SZ,-0.28784150695134414
002412.SZ,-0.28792023541796175
000881.SZ,-0.28803724204315456
600463.SH,-0.2880640348843253
600576.SH,-0.288127852291495
600367.SH,-0.28896680687015786
600982.SH,-0.2892870734689533
600192.SH,-0.2896653000149421
002651.SZ,-0.28969006854510226
603010.SH,-0.28972653848369917
603609.SH,-0.2901313420899581
002534.SZ,-0.29014812538349477
600076.SH,-0.29081074445170957
600262.SH,-0.2909469143813061
000407.SZ,-0.29137359493618153
600851.SH,-0.2915264871890959
600696.SH,-0.29165570142178715
000510.SZ,-0.29190726903077563
600423.SH,-0.29195636569504935
600182.SH,-0.2923302580355788
002398.SZ,-0.2925218748406688
000633.SZ,-0.29333205166695653
002321.SZ,-0.2935002369905941
603085.SH,-0.2941760189945142
000639.SZ,-0.29457263487027097
002135.SZ,-0.29463566794127866
600235.SH,-0.2953435467143186
002753.SZ,-0.2956684699280195
600135.SH,-0.2961964665441487
002319.SZ,-0.2962656761821835
000534.SZ,-0.2963598472937043
002382.SZ,-0.29703245947236284
002440.SZ,-0.297631456513586
000789.SZ,-0.29837172530452466
600075.SH,-0.29842082738183867
002287.SZ,-0.29846234436298547
600333.SH,-0.2986549454301398
600866.SH,-0.2987197404550107
002190.SZ,-0.29916619451995263
002763.SZ,-0.2994435288891552
600230.SH,-0.29963488571668245
002386.SZ,-0.29967087492277544
000026.SZ,-0.2999000922199655
600676.SH,-0.300133316530245
002205.SZ,-0.3006265350088014
002361.SZ,-0.3008384431304278
600343.SH,-0.30099298523562595
002556.SZ,-0.3011995438822787
600227.SH,-0.30148921031171366
000819.SZ,-0.30160285173354423
000720.SZ,-0.3016197820846542
603223.SH,-0.3021388307760592
002098.SZ,-0.3023810383374665
000520.SZ,-0.30243687891991594
002037.SZ,-0.3025463884303393
600868.SH,-0.3030563868718816
000880.SZ,-0.3034724203878969
002722.SZ,-0.3035761884013437
600962.SH,-0.3036377973326997
000753.SZ,-0.3038378978927874
002059.SZ,-0.3041744038827188
600858.SH,-0.3042609026747555
603021.SH,-0.30506660342130554
002040.SZ,-0.3052567505180825
002551.SZ,-0.3054605395291924
